bucket,n,mean_market_margin,mean_model_margin,mean_actual_margin,model_minus_market,actual_minus_model,bucket_mae,variant
<5,11426,2.76409067040084,2.271700842717046,2.2424295466479958,-0.4923898276837945,-0.029271296069049844,8.853725965221006,HistGradientBoostingAbsoluteBlend
5-10,8834,7.150384876613086,6.60026514060072,7.1556486302920534,-0.5501197360123663,0.5553834896913339,8.82043621305177,HistGradientBoostingAbsoluteBlend
10-15,3826,12.078410872974386,10.829240381962954,12.155253528489284,-1.2491704910114303,1.3260131465263285,8.61310685701216,HistGradientBoostingAbsoluteBlend
15+,2160,20.077083333333334,16.995953670949255,20.64814814814815,-3.0811296623840776,3.6521944771988917,9.628991575351037,HistGradientBoostingAbsoluteBlend
<5,11426,2.76409067040084,2.148120081577777,2.2424295466479958,-0.6159705888230632,0.09430946507021876,8.834399255071503,HistGradientBoostingSquaredBlend
5-10,8834,7.150384876613086,6.535747886439405,7.1556486302920534,-0.6146369901736806,0.6199007438526482,8.86681540349936,HistGradientBoostingSquaredBlend
10-15,3826,12.078410872974386,11.268184049755902,12.155253528489284,-0.8102268232184824,0.8870694787333804,8.642390743920636,HistGradientBoostingSquaredBlend
15+,2160,20.077083333333334,18.182263404844267,20.64814814814815,-1.8948199284890672,2.4658847433038824,9.522240122034598,HistGradientBoostingSquaredBlend
<5,11426,2.76409067040084,2.1273623588189774,2.2424295466479958,-0.6367283115818627,0.11506718782901837,8.820895845471489,LightGBMRegressionL2Blend
5-10,8834,7.150384876613086,6.469853201107501,7.1556486302920534,-0.6805316755055846,0.6857954291845522,8.864363225022199,LightGBMRegressionL2Blend
10-15,3826,12.078410872974386,11.143170306732594,12.155253528489284,-0.9352405662417916,1.0120832217566895,8.689668269619713,LightGBMRegressionL2Blend
15+,2160,20.077083333333334,18.04627102545542,20.64814814814815,-2.0308123078779126,2.601877122692727,9.5013368232443,LightGBMRegressionL2Blend
