variant,n_games,n_lined,MAE_all,MAE_lined
HistGradientBoostingAbsoluteBlend,41913,37628,9.561101925820662,9.054211868680364
HistGradientBoostingSquaredBlend,41913,37628,9.484119793504291,9.047034480080564
LightGBMRegressionL2Blend,41913,37628,9.4774939152916,9.043109085920483
