holdout,mae_all,mae_lined,dec15_mae_all,dec15_mae_lined,n
2019,9.47817630720058,9.10281484260509,9.085607941034354,8.968021581220992,6049
2020,9.56661997892743,9.10396096155883,9.043594822428215,8.903324057414613,5768
2022,9.395580222458152,8.935729204661907,8.870690250744042,8.71348681593844,5977
2023,9.548224901688112,9.141102084726175,9.080391555671673,8.966105144218648,6228
2024,9.649599074826588,9.215636808128785,9.321884743946862,9.14123978699168,6243
2025,9.643445361726549,9.192550305580184,9.235722628055303,9.012471645196111,6292
2026,9.885146461472985,9.331611406205775,9.226514562217787,9.072136302832426,5338
