n_games,n_lined,MAE_all,RMSE_all,MedAE_all,WinAcc_all,MAE_lined,BookMAE_lined,DeltaVsBook_MAE,GaussianNLL,MeanAbsZ,Coverage_1sigma,Coverage_2sigma,model,holdout_season
6049,5543,9.497464149127913,12.255640594879866,7.794188976287842,0.7442552488014548,9.032334887669334,8.789283781345842,0.2430511063234917,,,,,HistGradientBoosting,2019
6049,5543,9.505874507048476,12.270002583320208,7.78640079498291,0.7435939824764424,9.033804045056897,8.789283781345842,0.2445202637110544,,,,,HistGradientBoostingSwappedSlots,2019
5768,5324,9.623308651679642,12.532369494047266,7.668804407119751,0.7425450762829403,9.085441916960736,8.800995492111195,0.2844464248495413,,,,,HistGradientBoosting,2020
5768,5324,9.640447153642256,12.559466944157164,7.674749493598938,0.7420249653259362,9.086459711802354,8.800995492111195,0.28546421969115876,,,,,HistGradientBoostingSwappedSlots,2020
5977,5443,9.488657862752618,12.298039066523504,7.596962928771973,0.7460264346662205,8.912976491350337,8.682803600955355,0.23017289039498223,,,,,HistGradientBoosting,2022
5977,5443,9.512288314287268,12.330607441203238,7.577897548675537,0.7418437343148737,8.912951372997973,8.682803600955355,0.23014777204261883,,,,,HistGradientBoostingSwappedSlots,2022
6228,5773,9.628821419818221,12.355117014132087,7.922004222869873,0.7336223506743738,9.159826656194088,8.896500952710895,0.2633257034831935,,,,,HistGradientBoosting,2023
6228,5773,9.609903557284195,12.306200646914307,7.900526285171509,0.7366730892742454,9.139666596839701,8.896500952710895,0.2431656441288066,,,,,HistGradientBoostingSwappedSlots,2023
6243,5309,9.707786901963868,12.438973898298237,8.010606288909912,0.7336216562550056,9.265235886721474,8.872951591636843,0.3922842950846306,,,,,HistGradientBoosting,2024
6243,5309,9.714326496629695,12.462383081466157,7.997335910797119,0.735223450264296,9.25302142200944,8.872951591636843,0.38006983037259623,,,,,HistGradientBoostingSwappedSlots,2024
6292,5437,9.638301092858946,12.439657372296493,7.904244348406792,0.7425301970756516,9.127939894709764,8.759334191649806,0.36860570305995743,,,,,HistGradientBoosting,2025
6292,5437,9.668430653232646,12.465691064579419,8.006874322891235,0.7439605848696758,9.154565010855396,8.759334191649806,0.3952308192055902,,,,,HistGradientBoostingSwappedSlots,2025
