n_games,n_lined,MAE_all,RMSE_all,MedAE_all,WinAcc_all,MAE_lined,BookMAE_lined,DeltaVsBook_MAE,GaussianNLL,MeanAbsZ,Coverage_1sigma,Coverage_2sigma,model,slice,holdout_season
648,565,10.222323967798191,13.397892826450663,8.179504156112671,0.8009259259259259,9.501744023874089,9.230973451327433,0.27077057254665604,,,,,HistGradientBoosting,dec15_plus,2019
648,565,10.246621459877021,13.39883318810964,8.216177463531494,0.808641975308642,9.494059554842687,9.230973451327433,0.2630861035152545,,,,,HistGradientBoostingSwappedSlots,dec15_plus,2019
571,493,10.139955108776531,13.441516706198588,7.623592376708984,0.7740805604203153,9.199914865335543,8.833671399594321,0.36624346574122235,,,,,HistGradientBoosting,dec15_plus,2020
571,493,10.107822540005744,13.445865414167839,7.396441459655762,0.7688266199649737,9.149616848715178,8.833671399594321,0.3159454491208571,,,,,HistGradientBoostingSwappedSlots,dec15_plus,2020
455,360,10.826090575902017,13.694148222424719,9.246787071228027,0.7802197802197802,9.816889839122693,9.227777777777778,0.589112061344915,,,,,HistGradientBoosting,dec15_plus,2022
455,360,10.927205072152992,13.788084468469892,9.656031608581543,0.7758241758241758,9.824625192776633,9.227777777777778,0.5968474149988552,,,,,HistGradientBoostingSwappedSlots,dec15_plus,2022
687,606,9.845053223208449,12.803688651426528,7.846019744873047,0.7714701601164483,9.11260895230792,8.914191419141915,0.19841753316600474,,,,,HistGradientBoosting,dec15_plus,2023
687,606,9.797571708433319,12.735584181329438,7.8902294635772705,0.777292576419214,9.083523668545505,8.914191419141915,0.16933224940359004,,,,,HistGradientBoostingSwappedSlots,dec15_plus,2023
646,499,10.387165027249592,13.521720704433674,8.087960243225098,0.8003095975232198,9.361350862227216,9.055110220440882,0.30624064178633326,,,,,HistGradientBoosting,dec15_plus,2024
646,499,10.473065732603448,13.658323784992008,8.449103593826294,0.8065015479876161,9.415096253824824,9.055110220440882,0.359986033383942,,,,,HistGradientBoostingSwappedSlots,dec15_plus,2024
584,458,10.423659341346013,13.61946164151918,8.347352147102356,0.815068493150685,9.431845832030456,9.080786026200874,0.35105980582958196,,,,,HistGradientBoosting,dec15_plus,2025
584,458,10.385498578661586,13.519588537694071,8.340333223342896,0.8082191780821918,9.407149851372756,9.080786026200874,0.32636382517188167,,,,,HistGradientBoostingSwappedSlots,dec15_plus,2025
6049,5543,9.497464149127913,12.255640594879866,7.794188976287842,0.7442552488014548,9.032334887669334,8.789283781345842,0.2430511063234917,,,,,HistGradientBoosting,full,2019
6049,5543,9.505874507048476,12.270002583320208,7.78640079498291,0.7435939824764424,9.033804045056897,8.789283781345842,0.2445202637110544,,,,,HistGradientBoostingSwappedSlots,full,2019
5768,5324,9.623308651679642,12.532369494047266,7.668804407119751,0.7425450762829403,9.085441916960736,8.800995492111195,0.2844464248495413,,,,,HistGradientBoosting,full,2020
5768,5324,9.640447153642256,12.559466944157164,7.674749493598938,0.7420249653259362,9.086459711802354,8.800995492111195,0.28546421969115876,,,,,HistGradientBoostingSwappedSlots,full,2020
5977,5443,9.488657862752618,12.298039066523504,7.596962928771973,0.7460264346662205,8.912976491350337,8.682803600955355,0.23017289039498223,,,,,HistGradientBoosting,full,2022
5977,5443,9.512288314287268,12.330607441203238,7.577897548675537,0.7418437343148737,8.912951372997973,8.682803600955355,0.23014777204261883,,,,,HistGradientBoostingSwappedSlots,full,2022
6228,5773,9.628821419818221,12.355117014132087,7.922004222869873,0.7336223506743738,9.159826656194088,8.896500952710895,0.2633257034831935,,,,,HistGradientBoosting,full,2023
6228,5773,9.609903557284195,12.306200646914307,7.900526285171509,0.7366730892742454,9.139666596839701,8.896500952710895,0.2431656441288066,,,,,HistGradientBoostingSwappedSlots,full,2023
