awayConference,awayMoneyline,awayScore,awayTeam_x,awayTeamId_x,gameId,homeConference,homeMoneyline,homeScore,homeTeam_x,homeTeamId_x,overUnder,overUnderOpen,provider,season,seasonType,spread,spreadOpen,startDate_x,majority_sign_sum,provider_count,homeTeam_y,awayTeam_y,homeTeamId_y,awayTeamId_y,neutralSite,startDate_y,confidence,reason_flag,rating_edge
ASUN,170.0,52,Liberty,142,25108,Big 12,-187.0,56,TCU,287,120.0,,consensus,2021,regular,5.0,,2020-11-29T20:30:00.000Z,-1.0,3.0,TCU,Liberty,287,142,True,2020-11-29T20:30:00.000Z,medium,moneyline_conflict,
Big 12,-222.0,78,Texas,295,25131,A-10,258.0,76,Davidson,63,141.5,,consensus,2021,regular,-7.5,,2020-11-30T17:00:00.000Z,1.0,3.0,Davidson,Texas,63,295,True,2020-11-30T17:00:00.000Z,medium,moneyline_conflict,
ACC,-190.0,78,North Carolina,200,25144,Mountain West,612.0,51,UNLV,322,157.5,,consensus,2021,regular,-13.5,,2020-12-01T00:00:00.000Z,1.0,3.0,UNLV,North Carolina,322,200,True,2020-12-01T00:00:00.000Z,medium,moneyline_conflict,
Big East,-10000.0,87,Villanova,338,25174,Am. East,2050.0,53,Hartford,363,137.5,,consensus,2021,regular,-26.0,,2020-12-01T22:00:00.000Z,1.0,3.0,Hartford,Villanova,363,338,True,2020-12-01T22:00:00.000Z,high,strong_moneyline_conflict,
Big 12,-193.0,65,Kansas,131,25199,SEC,161.0,62,Kentucky,135,144.0,,consensus,2021,regular,-4.0,,2020-12-02T02:30:00.000Z,1.0,3.0,Kentucky,Kansas,135,131,True,2020-12-02T02:30:00.000Z,medium,moneyline_conflict,
CAA,-189.0,66,Drexel,71,25238,MAAC,185.0,48,Quinnipiac,238,145.0,,consensus,2021,regular,-5.5,,2020-12-03T00:30:00.000Z,-3.0,3.0,Quinnipiac,Drexel,238,71,True,2020-12-03T00:30:00.000Z,medium,moneyline_conflict,
SEC,-200.0,90,Florida,87,25303,ACC,192.0,70,Boston College,26,141.5,,consensus,2021,regular,-5.5,,2020-12-04T02:30:00.000Z,1.0,3.0,Boston College,Florida,26,87,True,2020-12-04T02:30:00.000Z,medium,moneyline_conflict,
SEC,-218.0,62,Kentucky,135,25469,ACC,222.0,79,Georgia Tech,101,142.0,,consensus,2021,regular,-6.5,,2020-12-06T22:00:00.000Z,1.0,3.0,Georgia Tech,Kentucky,101,135,False,2020-12-06T22:00:00.000Z,medium,moneyline_conflict,
American,-260.0,71,Memphis,163,25749,SEC,208.0,74,Auburn,16,145.5,,consensus,2021,regular,-6.0,,2020-12-12T22:30:00.000Z,1.0,3.0,Auburn,Memphis,16,163,True,2020-12-12T22:30:00.000Z,high,strong_moneyline_conflict,
A-10,-243.0,81,St. Bonaventure,277,25870,MAC,196.0,74,Akron,3,136.0,,consensus,2021,regular,-5.5,,2020-12-15T19:00:00.000Z,1.0,3.0,Akron,St. Bonaventure,3,277,True,2020-12-15T19:00:00.000Z,medium,moneyline_conflict,
