variant,rows,lined_rows,cover_logloss,cover_brier,all_pick_winrate,all_pick_roi,pick_prob_edge_mean,prob80_n,prob80_roi,prob85_n,prob85_roi,edge10_n,edge10_roi,edge15_n,edge15_roi,top100_roi,top100_winrate,top100_avg_prob,top200_roi,top200_winrate,top200_avg_prob,top500_roi,top500_winrate,top500_avg_prob
HistGradientBoostingAbsoluteBlend,41913,37628,0.7061993758712914,0.2557809464222739,0.5155463983731136,-0.015667732926157495,0.05404153601259048,361,0.21128179299924454,186,0.30889540566959917,7441,0.03174060182526787,3147,0.08065401392379466,0.3745454545454544,0.72,0.9401472178818402,0.31272727272727274,0.6884422110552764,0.9028572972638446,0.1761818181818182,0.6164658634538153,0.8433695156189333
LightGBMRegressionL2Blend,41913,37628,0.7053505632155187,0.25544756815737313,0.5128705983088944,-0.02074132415899185,0.05335162727463214,315,0.2487734487734488,168,0.3522727272727273,7304,0.03758837000896147,2960,0.07628992628992629,0.4127272727272726,0.74,0.9386378963566397,0.3127272727272727,0.6884422110552764,0.898667010543069,0.20290909090909087,0.6305220883534136,0.8361070778264388
