variant,rows,lined_rows,cover_logloss,cover_brier,all_pick_winrate,all_pick_roi,pick_prob_edge_mean,prob80_n,prob80_roi,prob85_n,prob85_roi,edge10_n,edge10_roi,edge15_n,edge15_roi,top100_roi,top100_winrate,top100_avg_prob,top200_roi,top200_winrate,top200_avg_prob,top500_roi,top500_winrate,top500_avg_prob
HistGradientBoostingAbsoluteBlend,27732,26246,0.7064726911903572,0.2560410290002551,0.5118732497026892,-0.022632020117351208,0.04902771652428782,117,0.06060606060606062,54,0.1313131313131313,4564,0.011034977292646004,1759,0.06656674763553672,0.05,0.55,0.8640505568897454,0.04045454545454545,0.545,0.8272856122623378,0.06563636363636363,0.5584677419354839,0.7808026862492013
LightGBMRegressionL2Blend,27732,26246,0.7061223858458227,0.25593296520414643,0.5085356964744696,-0.028960257147409473,0.04935588954656223,105,0.08225108225108226,44,0.128099173553719,4575,0.013273720814704423,1726,0.04429579690298115,0.09818181818181816,0.5757575757575758,0.8537963502695968,0.11227272727272726,0.5829145728643216,0.817383987246748,0.09981818181818179,0.5763052208835341,0.7751722088222368
