option,n_games,gaussian_nll,cover_logloss,cover_brier,mean_sigma,std_sigma,mean_abs_z,cov1,cov2,top100_roi,top200_roi,top500_roi,top100_winrate,top200_winrate,top500_winrate,top100_avg_prob,top200_avg_prob,top500_avg_prob
best_posthoc_sigma,5466.6992822616085,3.9007524460261975,0.7059691392179426,0.2556231614863257,13.935843042727008,0.670800395185329,0.6584214061627475,0.7765856159367218,0.9789805185293687,0.1893586295058391,0.10866902139899062,0.05953493481763586,0.6248432388555247,0.5816288983187807,0.5555114582827436,0.8484789233806826,0.7969837788043643,0.7267576208351721
constant_14_sigma,5466.6992822616085,3.900657963696612,0.7060270880328148,0.2556021038809463,14.0,0.0,0.6512134639052302,0.7827742785996777,0.980738245202871,0.1765252939531539,0.10578055714609108,0.06120080029828088,0.6183844635012791,0.5802014095442531,0.5563742737950085,0.8525075710542531,0.8005856649440825,0.7288221497522644
hgbr_residual_sigma,5466.6992822616085,4.0530596529282965,0.6984002852557414,0.25246135335084197,19.127104634297126,1.459382297906226,0.4797824942191544,0.8995166251647869,0.9974000292954446,0.17838771855067445,0.10046603060042346,0.06877164866772308,0.6190965712123431,0.5773431163654462,0.5604161292573518,0.7817068969328715,0.7338339509366925,0.6742228858050063
raw_mlp_sigma,5466.6992822616085,3.937852583209621,0.709384938388558,0.25699795189369745,13.743372170908028,2.683201580741316,0.7289441219215241,0.7341438406327816,0.9559469752453493,0.15387964898730971,0.09369314020533444,0.057015479979226874,0.605570717542082,0.5736163522325558,0.554221124162966,0.8539733538083546,0.8034294218900487,0.7363106770734265
