season,scalar_c,scalar_fit_mode,train_seasons
2020,2.5000000000000018,in_sample_single_season,2019
2022,2.5000000000000018,season_oof,"2019,2020"
2023,2.5000000000000018,season_oof,"2019,2020,2022"
2024,2.5000000000000018,season_oof,"2019,2020,2022,2023"
2025,2.5000000000000018,season_oof,"2019,2020,2022,2023,2024"
