season,option,scalar_c,scalar_fit_mode,top200_overlap_vs_raw,top200_churn_vs_raw,n_games,gaussian_nll,cover_logloss,cover_brier,mean_sigma,std_sigma,mean_abs_z,cov1,cov2,top100_roi,top100_winrate,top100_avg_prob,top200_roi,top200_winrate,top200_avg_prob,top500_roi,top500_winrate,top500_avg_prob
2020,best_posthoc_sigma,,,167,66,5326,3.959065679028827,0.701299991481587,0.25376962456635405,16.1108248851105,1.3780234050624942,0.5682533069434339,0.8377769432970334,0.9902365752910252,0.43363636363636354,0.7604166666666666,0.8662955787291828,0.2468181818181818,0.6564102564102564,0.7978924703757574,0.0967272727272727,0.5755102040816327,0.7149719559468387
2020,constant_14_sigma,,,153,94,5326,3.902160723768998,0.7052076737964973,0.25542735851144366,14.0,0.0,0.6499398995088214,0.7833270747277506,0.98028539241457,0.4145454545454544,0.75,0.8935530515486358,0.23727272727272727,0.6512820512820513,0.8279925808158451,0.11581818181818183,0.5857142857142857,0.7424415560717469
2020,hgbr_residual_sigma,2.5000000000000018,in_sample_single_season,150,100,5326,4.07448899380431,0.6974086926687866,0.2521418351319175,19.76682187362224,2.997276331456687,0.4702816685890288,0.9014269620728502,0.9966203529853549,0.43363636363636354,0.7604166666666666,0.8247888218049692,0.20863636363636362,0.6358974358974359,0.7587174708983501,0.10654545454545454,0.5811088295687885,0.6848446981361692
2020,raw_mlp_sigma,,,200,0,5326,4.158834664285315,0.6968915019566769,0.2517587174468212,22.443299540442002,5.512093620249977,0.4310030033885599,0.9194517461509576,0.9969958693203155,0.3663636363636363,0.7216494845360825,0.8131013129094136,0.14681818181818182,0.6030927835051546,0.7442140529052917,0.0969090909090909,0.5758196721311475,0.6705346685821548
2022,best_posthoc_sigma,,,178,44,5463,3.8751666548376162,0.7009467255762203,0.25320221804816506,13.341536018845364,0.4190603815018673,0.6685363380339174,0.7704557935200439,0.9756544023430349,0.3745454545454545,0.72,0.890079967056749,0.22681818181818175,0.6432160804020101,0.833319992152318,0.1349090909090909,0.5959183673469388,0.7504164686208236
2022,constant_14_sigma,,,174,52,5463,3.890369122856064,0.6999436644182224,0.25273659425134826,14.0,0.0,0.6370100054714246,0.7935200439319056,0.980962840929892,0.37454545454545446,0.72,0.8837936759195312,0.22227272727272726,0.6414141414141414,0.8267989115032996,0.12527272727272726,0.5906313645621182,0.7436613079433131
2022,hgbr_residual_sigma,2.5000000000000018,season_oof,172,56,5463,4.0379083193776655,0.6937784889999999,0.25024613270695945,18.82321758626386,0.8779423232108513,0.4746524679696723,0.900054914881933,0.9970712062969065,0.3936363636363636,0.73,0.8143872749724893,0.21272727272727274,0.6363636363636364,0.7603738959876789,0.13672727272727275,0.5967413441955194,0.6893561945182486
2022,raw_mlp_sigma,,,200,0,5463,3.8673364823123184,0.7066287208528831,0.2554450223908059,11.366144075381456,1.6762415260074692,0.797353154626161,0.6926597107816218,0.9436207212154494,0.3745454545454545,0.72,0.9165943506408906,0.2509090909090909,0.6565656565656566,0.8599700339879429,0.13109090909090912,0.5938775510204082,0.7791404831036527
2023,best_posthoc_sigma,,,170,60,5773,3.8850070080125505,0.703666249394011,0.2546972756407129,13.411120727098155,0.5614030451084662,0.6842055460686749,0.7592239736705353,0.9783474796466308,0.29818181818181816,0.68,0.855314957907239,0.23636363636363636,0.6482412060301508,0.8044166736649562,0.12072727272727272,0.5871743486973948,0.7340091152105738
2023,constant_14_sigma,,,161,78,5773,3.8995801276919773,0.7028237431853402,0.2542639265281241,14.0,0.0,0.6556495273325055,0.778624631907154,0.981465442577516,0.3081818181818181,0.6868686868686869,0.858580359624728,0.2268181818181818,0.6432160804020101,0.8048062544674344,0.11309090909090908,0.5831663326653307,0.731675774404672
2023,hgbr_residual_sigma,2.5000000000000018,season_oof,160,80,5773,4.039680827390315,0.6961883740499016,0.2514643402396318,18.747411343495063,1.2746630658282525,0.49111957064097206,0.8955482418153473,0.9979213580460765,0.3172727272727272,0.69,0.7863920329247059,0.24590909090909085,0.6532663316582915,0.7376908031710312,0.136,0.5951903807615231,0.6776979866231865
2023,raw_mlp_sigma,,,200,0,5773,3.879285888450336,0.7087849182400608,0.2569099942208946,11.644482908392622,2.2456121804338647,0.8050731437449901,0.6835267625151568,0.9487268318032219,0.2981818181818181,0.68,0.8655756442655147,0.16454545454545452,0.61,0.8201328968516073,0.10163636363636362,0.5771543086172345,0.7535813833271083
2024,best_posthoc_sigma,,,170,60,5309,3.893750471368465,0.7131409393409242,0.2585411710379253,13.278189099111177,0.5245892576513943,0.6985821373251035,0.7432661518176681,0.9749482011678282,-0.02636363636363635,0.51,0.8354102672338566,-0.08363636363636363,0.48,0.7905694621432986,-0.03781818181818181,0.504,0.7258217593225491
2024,constant_14_sigma,,,161,78,5309,3.9088651639389034,0.71195856503939,0.25796073587659185,14.0,0.0,0.6624700898097209,0.7724618572235826,0.9821058579770201,-0.06454545454545454,0.49,0.8329696587299451,-0.08363636363636363,0.48,0.7866702191656663,-0.030181818181818174,0.508,0.7200683141554568
2024,hgbr_residual_sigma,2.5000000000000018,season_oof,162,76,5309,4.058771923752551,0.7026261575069762,0.25429972239436915,19.159194617919002,1.3669175345424447,0.4862535889054003,0.8956488980975702,0.9983047654925598,-0.06454545454545452,0.49,0.7589960433314267,-0.09318181818181817,0.475,0.7190670325646523,-0.022545454545454542,0.512,0.6656000373858553
2024,raw_mlp_sigma,,,200,0,5309,3.9070590758694057,0.7206093490531114,0.2615881122123564,11.112756396444713,2.098357030605577,0.8556568015770805,0.6585044264456583,0.9327556978715389,-0.12181818181818184,0.46,0.861143447486002,-0.0168181818181818,0.515,0.8173508034984411,-0.030181818181818174,0.508,0.7550522413912586
2025,best_posthoc_sigma,,,165,70,5437,3.8928934788387592,0.7110316410883135,0.2580051695635227,13.601734654592507,0.4898866146645188,0.6699925413865829,0.7737723009012323,0.9759058304211882,-0.1409090909090909,0.45,0.7947285206168841,-0.09318181818181817,0.475,0.7579547334290266,-0.02254545454545454,0.512,0.7077448890867026
2025,constant_14_sigma,,,155,90,5437,3.902654387925932,0.7105517600588789,0.257770265281981,14.0,0.0,0.6510305829610603,0.7859113481699467,0.9788486297590583,-0.15999999999999998,0.44,0.7934942085602866,-0.08363636363636363,0.48,0.7565061060758259,-0.02254545454545453,0.512,0.7060884471239474
2025,hgbr_residual_sigma,2.5000000000000018,season_oof,153,94,5437,4.055919424807321,0.7022377512613961,0.25426370020580846,19.177611268748468,0.8235284289629725,0.47588746880707733,0.9050947213536877,0.9970572006621299,-0.19818181818181813,0.42,0.7238693752462776,-0.08363636363636362,0.48,0.693115653081073,-0.018727272727272728,0.514,0.653342236045526
2025,raw_mlp_sigma,,,200,0,5437,3.8844899116457747,0.7140696503497036,0.25930187594219656,12.40693861837003,1.9595464586580753,0.7475031420360942,0.721905462571271,0.9584329593525841,-0.16000000000000003,0.44,0.8117699206628334,-0.08363636363636363,0.48,0.773295508961961,-0.018727272727272724,0.514,0.7210708460481386
