season,option,base_score,calibration_method,cover_logloss,cover_brier,pick_prob_mean,pick_prob_std,pick_prob_edge_mean,prob80_n,prob80_winrate,prob80_roi,prob85_n,prob85_winrate,prob85_roi,edge10_n,edge10_roi,edge15_n,edge15_roi,top100_roi,top100_winrate,top100_avg_prob,top200_roi,top200_winrate,top200_avg_prob,top500_roi,top500_winrate,top500_avg_prob,top100_overlap_vs_raw,top100_churn_vs_raw,top100_overlap_vs_best,top100_churn_vs_best,top200_overlap_vs_raw,top200_churn_vs_raw,top200_overlap_vs_best,top200_churn_vs_best,top500_overlap_vs_raw,top500_churn_vs_raw,top500_overlap_vs_best,top500_churn_vs_best
2020,raw_mlp_normal,z_raw,normal,0.6990626430427122,0.25273223776230624,0.5461862239406745,0.0470983700711294,0.02237670013115062,29,0.8214285714285714,0.5485893416927898,14,0.7857142857142857,0.5,277,0.02100426649163112,113,0.10780370072405472,0.13727272727272727,0.5979381443298969,0.7682417312962947,0.01772727272727275,0.5333333333333333,0.7138776947295837,0.024181818181818186,0.536734693877551,0.6544809405488202,100,0,79,42,200,0,147,106,500,0,374,252
2020,best_posthoc_normal,z_best,normal,0.7026586912340873,0.25440696627757997,0.5595215194043845,0.0575149039279244,0.03571199559486063,44,0.8095238095238095,0.5206611570247935,29,0.7931034482758621,0.5141065830721001,542,0.0538409929553841,208,0.12499999999999999,0.25181818181818183,0.6597938144329897,0.8151403815764938,0.1318181818181818,0.5939086294416244,0.7588126172097259,0.03545454545454545,0.5426829268292683,0.6934848639906342,79,42,100,0,147,106,200,0,374,252,500,0
2020,constant14_normal,z_const14,normal,0.7074975373726188,0.2564049500020133,0.5698927376531423,0.06548409315781964,0.04608321384361851,67,0.676923076923077,0.2835820895522388,41,0.7948717948717948,0.492239467849224,801,0.025649755986834635,359,0.08027348695872373,0.23272727272727273,0.6494845360824743,0.8496503634513344,0.1318181818181818,0.5939086294416244,0.7926310961266505,0.064,0.5578093306288032,0.7231095981230455,73,54,92,16,140,120,192,16,359,282,479,42
2020,logistic_raw_z,z_raw,logistic,0.6928060945256392,0.2498320657378632,0.5091917766461023,0.010298011064709066,-0.01461774716342157,0,,,0,,,4,0.43181818181818177,0,,0.13727272727272727,0.5979381443298969,0.5584340053908651,0.017727272727272734,0.5333333333333333,0.5449928402716775,0.06818181818181819,0.5603271983640081,0.5316367689322127,97,6,78,44,187,26,147,106,441,118,369,262
2020,isotonic_raw_z,z_raw,isotonic,0.6922709388400835,0.24959407019489874,0.5084700151118035,0.017529623035692218,-0.015339508697720348,0,,,0,,,8,0.9090909090909091,8,0.9090909090909091,0.12727272727272726,0.5918367346938775,0.5995050125313283,0.06999999999999999,0.5612244897959183,0.5722548349979868,0.03563636363636364,0.5428571428571428,0.5495861327759789,70,60,68,64,157,86,126,148,384,232,345,310
2020,logistic_best_posthoc_z,z_best,logistic,0.6925755912044733,0.24972048704907784,0.5118144462993269,0.012765221912627462,-0.011995077510196838,0,,,0,,,9,0.4848484848484848,0,,0.25181818181818183,0.6597938144329897,0.571874724733673,0.14136363636363636,0.5989847715736041,0.5559567002372477,0.06036363636363636,0.5560081466395111,0.5399648709267788,78,44,98,4,142,116,190,20,374,252,455,90
2020,isotonic_best_posthoc_z,z_best,isotonic,0.6915884861472706,0.2492634850507898,0.511892323480456,0.022565685579267598,-0.011917200329067866,0,,,0,,,22,0.6942148760330575,12,0.8333333333333331,0.21363636363636368,0.6391752577319587,0.6354401551062764,0.12727272727272726,0.5918367346938775,0.5967378122853119,-0.008363636363636346,0.5193482688391039,0.5576852591008735,76,48,87,26,127,146,133,134,234,532,246,508
2022,raw_mlp_normal,z_raw,normal,0.7106987179125319,0.25720120531237445,0.5852548279301396,0.07324700838140548,0.06144530412061566,96,0.5520833333333334,0.053977272727272735,56,0.5714285714285714,0.0909090909090909,1268,0.04911098365357041,571,0.04871835694953034,0.08818181818181815,0.57,0.8691753608893318,0.04545454545454547,0.5477386934673367,0.8212181659397225,0.05436363636363637,0.5526315789473685,0.7554175304176534,100,0,98,4,200,0,199,2,500,0,497,6
2022,best_posthoc_normal,z_best,normal,0.7108887231277545,0.25723926204664294,0.5853885130936864,0.07352385666905294,0.06157898928416262,98,0.5612244897959183,0.07142857142857142,59,0.576271186440678,0.10015408320493063,1269,0.04978866680994341,573,0.04505790893225448,0.08818181818181815,0.57,0.8720582324434528,0.04545454545454547,0.5477386934673367,0.8228416622687347,0.050545454545454546,0.5506072874493927,0.7562351788433856,98,4,100,0,199,2,200,0,497,6,500,0
2022,constant14_normal,z_const14,normal,0.7040248723239376,0.2544548157150274,0.5700688294172036,0.06387043555256,0.04625930560767973,67,0.6119402985074627,0.1682496607869742,37,0.5675675675675675,0.08353808353808354,819,0.050616050616050616,340,0.07299465240641712,0.12636363636363634,0.59,0.8388018012404889,0.021818181818181834,0.5353535353535354,0.7881527862690441,0.04490909090909092,0.5476673427991886,0.7200026270064832,85,30,85,30,165,70,165,70,426,148,428,144
2022,logistic_raw_z,z_raw,logistic,0.691952599928292,0.24940768509423072,0.5171108306550959,0.016485108253293766,-0.006698693154428019,0,,,0,,,8,0.6704545454545454,3,0.9090909090909091,0.05,0.55,0.5901870725023636,0.03590909090909093,0.542713567839196,0.5737653452143506,0.046727272727272735,0.548582995951417,0.5552159780179118,98,4,98,4,198,4,198,4,490,20,490,20
2022,isotonic_raw_z,z_raw,isotonic,0.6919276539831761,0.24937067297227927,0.5200824390948688,0.033086840869205186,-0.003727084714654937,27,0.7407407407407407,0.41414141414141414,0,,,36,0.32575757575757563,36,0.32575757575757563,0.13636363636363633,0.5959595959595959,0.6762129289310909,0.05045454545454546,0.5505050505050505,0.6374891805149284,0.06563636363636366,0.5584677419354839,0.5865578047898032,52,96,51,98,170,60,170,60,335,330,335,330
2022,logistic_best_posthoc_z,z_best,logistic,0.6919303895031986,0.24939668706934132,0.5170300442462005,0.016489093753027553,-0.006779479563323322,0,,,0,,,9,0.6969696969696969,3,0.9090909090909091,0.08818181818181815,0.57,0.5907754694959396,0.04545454545454547,0.5477386934673367,0.5739073744983791,0.04290909090909091,0.5465587044534413,0.5551178308118416,98,4,100,0,198,4,199,2,493,14,494,12
