variant,scope,bucket,n,mean_market_margin,mean_model_margin,mean_actual_margin,model_minus_market,actual_minus_model,actual_minus_market,mae_model,mae_market
baseline,pooled,<5,5031,2.7413039157225203,2.1237310262704465,2.002186444046909,-0.6175728894520738,-0.12154458222353733,-0.7391174716756113,8.914410920566398,8.747465712581992
baseline,pooled,5-10,3835,7.102737940026076,6.328008955282728,6.8946544980443285,-0.7747289847433471,0.5666455427616001,-0.20808344198174705,9.013061978475312,8.876662320730118
baseline,pooled,10-15,1654,12.034461910519951,10.574961263998775,11.652962515114874,-1.4595006465211766,1.0780012511160981,-0.3814993954050786,8.72423360261313,8.605804111245465
baseline,pooled,15+,1233,21.376723438767236,18.226695628519117,21.386861313868614,-3.1500278102481185,3.1601656853494973,0.01013787510137875,9.920781122370622,9.599756690997568
baseline,dec15,<5,3769,2.7356062616078534,2.2271999571670045,2.0750862297691697,-0.5084063044408496,-0.15211372739783444,-0.660520031838684,8.790819746487347,8.574024940302467
baseline,dec15,5-10,2856,7.108018207282913,6.5294994626497855,7.141806722689076,-0.5785187446331274,0.6123072600392896,0.03378851540616246,8.999428407514953,8.7718837535014
baseline,dec15,10-15,1181,11.994496189669771,10.727680240935864,12.056731583403895,-1.2668159487339068,1.3290513424680304,0.06223539373412362,8.591893894129042,8.405165114309908
baseline,dec15,15+,629,20.10810810810811,17.16183149341052,20.36724960254372,-2.9462766146975867,3.205418109133199,0.2591414944356121,9.460138775156663,9.147853736089031
isotonic_tail10,pooled,<5,5031,2.7413039157225203,2.1294152030409728,2.002186444046909,-0.6118887126815478,-0.12722875899406347,-0.7391174716756113,8.918266349945304,8.747465712581992
isotonic_tail10,pooled,5-10,3835,7.102737940026076,6.386669365997569,6.8946544980443285,-0.716068574028507,0.5079851320467599,-0.20808344198174705,9.04443816020002,8.876662320730118
isotonic_tail10,pooled,10-15,1654,12.034461910519951,11.025926865076073,11.652962515114874,-1.008535045443878,0.6270356500387992,-0.3814993954050786,8.794841724149983,8.605804111245465
isotonic_tail10,pooled,15+,1233,21.376723438767236,20.609652096334543,21.386861313868614,-0.7670713424326924,0.7772092175340711,0.01013787510137875,9.961154103602054,9.599756690997568
isotonic_tail10,dec15,<5,3769,2.7356062616078534,2.227609920295553,2.0750862297691697,-0.5079963413123006,-0.15252369052638332,-0.660520031838684,8.791107867003698,8.574024940302467
