variant,MAE_all,MAE_lined,Dec15_MAE_all,Dec15_MAE_lined
baseline,9.567092393848657,9.02541474784544,9.040322026097787,8.883511693528567
isotonic_tail10,9.49734018754051,9.051475331611273,9.028437820778082,8.900392019148345
isotonic_tail8,9.498329108503846,9.053954720937249,9.030023828305017,8.902647101929626
slope_tail10,9.494030483594056,9.053285616976293,9.028447863901762,8.902746742452635
slope_tail8,9.498789291213772,9.061980421356717,9.03476940985832,8.911710836595894
