season,family,selected_label,gaussian_nll,cover_logloss,cover_brier,mean_sigma,std_sigma,mean_abs_z,cov1,cov2,pick_prob_mean,pick_prob_edge_mean,pick_prob_85_plus_n,pick_prob_85_plus_roi,edge_15_plus_n,edge_15_plus_roi,top100_roi,top100_winrate,top100_avg_prob,top200_roi,top200_winrate,top200_avg_prob,top500_roi,top500_winrate,top500_avg_prob,sigma_const,cap_max,scale,affine_a,affine_b,shrink_alpha,shrink_target,top200_overlap_vs_raw,top200_churn_vs_raw
2019,raw,raw,3.927023859201534,0.708656392488968,0.2562888681887777,12.501357875230745,5.619615163947578,0.8026304155134796,0.687533826447772,0.938841782428288,0.5787131621651457,0.0549036383556219,32,-0.10511363636363635,513,0.0407584618110934,0.15636363636363637,0.6082474226804123,0.8365131115253697,0.09363636363636363,0.5736040609137056,0.7922023256674359,0.03345454545454545,0.5415821501014199,0.7363073293134558,,,,,,,,,
2019,const,const_14.00,3.8934989790235615,0.7018848479556425,0.2539192143781014,14.0,0.0,0.6445884025478367,0.7833303265379759,0.9808767815262494,0.5653640966591356,0.041554572849611816,23,0.32806324110671936,264,0.10743801652892561,0.09818181818181816,0.5757575757575758,0.8023671273509576,0.08909090909090908,0.5714285714285714,0.7537615582747296,0.0470909090909091,0.5489795918367347,0.6979897699438852,14.0,,,,,,,,
2019,cap,cap_17.00,3.8940473336972454,0.7096207278969681,0.2567533163708146,11.374816218976099,2.6440290143037832,0.825947892286984,0.6741836550604365,0.937398520656684,0.5815071831786396,0.05769765936911578,36,0.007575757575757569,536,0.037143826322930805,0.16545454545454547,0.6122448979591837,0.8447150988727056,0.12227272727272727,0.5888324873096447,0.7993828321138992,0.044909090909090905,0.5476673427991886,0.7414283251465422,,17.0,,,,,,,
2019,scale,scale_1.000,3.927023859201534,0.708656392488968,0.2562888681887777,12.501357875230745,5.619615163947578,0.8026304155134796,0.687533826447772,0.938841782428288,0.5787131621651457,0.0549036383556219,32,-0.10511363636363635,513,0.0407584618110934,0.15636363636363637,0.6082474226804123,0.8365131115253697,0.09363636363636363,0.5736040609137056,0.7922023256674359,0.03345454545454545,0.5415821501014199,0.7363073293134558,,,1.0,,,,,,
2019,affine,affine_a3.00_b1.000,3.9359778185737055,0.7008457500642101,0.25330907265553165,15.294840022026364,4.993855161125931,0.627354999421339,0.7972217210896626,0.9805159660833483,0.56259640484315,0.038786881033626104,13,0.027972027972028,236,0.11286594761171032,0.14636363636363633,0.6020408163265306,0.7784243317236254,0.1509090909090909,0.6040609137055838,0.7385660357717339,0.03345454545454546,0.5415821501014199,0.6896049264582599,,,,3.0,1.0000000000000002,,,,
2019,shrink,shrink_alpha0.25_to_14.00,3.8847214282134637,0.7022537201715607,0.2540333019137867,13.625339468807686,1.4049037909868944,0.6658651592343691,0.7674544470503337,0.9785314811473931,0.5670173807436178,0.04320785693409411,15,0.14545454545454545,276,0.0727931488801054,0.12727272727272726,0.5918367346938775,0.7971019187178434,0.14136363636363639,0.5989847715736041,0.7536869764580826,0.04327272727272728,0.5469387755102041,0.7001333989976748,,,,,,0.25,14.0,,
2020,raw,raw,4.15871842068336,0.6992395992938074,0.25280465393381324,22.44053750876463,5.511284654110098,0.4309562773623536,0.9194214876033058,0.9969947407963937,0.5461862239406745,0.02237670013115062,14,0.5,113,0.10780370072405472,0.13727272727272727,0.5979381443298969,0.7682417312962947,0.01772727272727275,0.5333333333333333,0.7138776947295837,0.024181818181818186,0.536734693877551,0.6544809405488202,,,,,,,,200.0,0.0
2020,const,const_14.00,3.9020267783265554,0.7078451118561353,0.25655658223975136,14.0,0.0,0.6497402350117566,0.7836213373403456,0.9802779864763336,0.5698927376531423,0.04608321384361851,41,0.492239467849224,359,0.08027348695872373,0.23272727272727273,0.6494845360824743,0.8496503634513344,0.1318181818181818,0.5939086294416244,0.7926310961266505,0.064,0.5578093306288032,0.7231095981230455,14.0,,,,,,,140.0,120.0
2020,cap,cap_17.00,3.9743521058764077,0.7029447987330885,0.2545343068799181,16.6234792833665,0.9771551691651479,0.5491988922546264,0.8523666416228399,0.9922990232907588,0.5595215194043845,0.03571199559486063,29,0.5141065830721001,208,0.12499999999999999,0.25181818181818183,0.6597938144329897,0.8151403815764938,0.1318181818181818,0.5939086294416244,0.7588126172097259,0.03545454545454545,0.5426829268292683,0.6934848639906342,,17.0,,,,,,147.0,106.0
2020,scale,scale_1.000,4.15871842068336,0.6992395992938074,0.25280465393381324,22.44053750876463,5.511284654110098,0.4309562773623536,0.9194214876033058,0.9969947407963937,0.5461862239406745,0.02237670013115062,14,0.5,113,0.10780370072405472,0.13727272727272727,0.5979381443298969,0.7682417312962947,0.01772727272727275,0.5333333333333333,0.7138776947295837,0.024181818181818186,0.536734693877551,0.6544809405488202,,,1.0,,,,,200.0,0.0
2020,affine,affine_a3.00_b1.000,4.2304626115549775,0.6972815270368139,0.2519660985645106,24.70693521316924,4.588800783616591,0.38151799422429455,0.9489105935386927,0.999060856498873,0.5413610472593526,0.01755152344982876,8,0.6704545454545454,86,0.23361522198731505,0.13727272727272724,0.5979381443298969,0.7420093314760294,0.06545454545454549,0.558974358974359,0.6918265289482036,0.06036363636363636,0.5560081466395111,0.6380854261774713,,,,3.0,1.0000000000000002,,,186.0,28.0
2020,shrink,shrink_alpha0.25_to_14.00,3.9589627378270165,0.703904263588107,0.25489272956177544,16.11013437719116,1.3778211635275244,0.5681205357433947,0.8377160030052592,0.9902329075882795,0.5611551269206929,0.03734560311116907,31,0.5395894428152491,230,0.11304347826086955,0.19454545454545458,0.6288659793814433,0.8197146185965064,0.1509090909090909,0.6040609137055838,0.7628105297960048,0.048727272727272716,0.5496957403651116,0.6963793425562597,,,,,,0.25,14.0,159.0,82.0
2022,raw,raw,3.8683221951604123,0.710638709716732,0.2571892642084372,11.364714002600492,1.6763944292095443,0.7983929724966691,0.6920815726621349,0.9434135586992467,0.5852548279301396,0.06144530412061566,56,0.0909090909090909,571,0.04871835694953034,0.08818181818181815,0.57,0.8691753608893318,0.04545454545454547,0.5477386934673367,0.8212181659397225,0.05436363636363637,0.5526315789473685,0.7554175304176534,,,,,,,,200.0,0.0
2022,const,const_14.00,3.8909830109448316,0.7039926278944973,0.25445248600446063,14.0,0.0,0.6377511380023673,0.7931287892706228,0.980892889950395,0.5700688294172036,0.04625930560767973,37,0.08353808353808354,340,0.07299465240641712,0.12636363636363634,0.59,0.8388018012404889,0.021818181818181834,0.5353535353535354,0.7881527862690441,0.04490909090909092,0.5476673427991886,0.7200026270064832,14.0,,,,,,,165.0,70.0
2022,cap,cap_17.00,3.8677776477268426,0.7108297068322031,0.25722856907746244,11.340476589739026,1.5644014387860457,0.7991842111689146,0.6915304060260885,0.9434135586992467,0.5853885130936864,0.06157898928416262,59,0.10015408320493063,573,0.04505790893225448,0.08818181818181815,0.57,0.8720582324434528,0.04545454545454547,0.5477386934673367,0.8228416622687347,0.050545454545454546,0.5506072874493927,0.7562351788433856,,17.0,,,,,,199.0,2.0
2022,scale,scale_1.000,3.8683221951604123,0.710638709716732,0.2571892642084372,11.364714002600492,1.6763944292095443,0.7983929724966691,0.6920815726621349,0.9434135586992467,0.5852548279301396,0.06144530412061566,56,0.0909090909090909,571,0.04871835694953034,0.08818181818181815,0.57,0.8691753608893318,0.04545454545454547,0.5477386934673367,0.8212181659397225,0.05436363636363637,0.5526315789473685,0.7554175304176534,,,1.0,,,,,200.0,0.0
2022,affine,affine_a3.00_b1.000,3.902209380603097,0.7022153897539879,0.25391776579189157,14.364714002600495,1.676394429209545,0.6275764016870577,0.7955171780268234,0.9825463898585339,0.5682459698754129,0.044436446065888986,26,0.17482517482517484,317,0.09664468024089476,0.10727272727272724,0.58,0.8183258265077262,0.007272727272727284,0.5276381909547738,0.7708831195768758,0.041090909090909095,0.5456389452332657,0.7101477289542067,,,,3.0,1.0000000000000002,,,191.0,18.0
