season,option,bucket_kind,bucket,n,avg_pick_prob,win_rate,roi
2020,raw,probability,"[0.5, 0.55)",3537,0.5224919709893506,0.4896670493685419,-0.06420438481507183
2020,raw,probability,"[0.55, 0.6)",1323,0.5700312888006792,0.5084226646248086,-0.028997457568886137
2020,raw,probability,"[0.6, 0.65)",287,0.6194416941455706,0.5425531914893617,0.03515996198923029
2020,raw,probability,"[0.65, 0.7)",94,0.6682417189963736,0.45652173913043476,-0.12572533849129594
2020,raw,probability,"[0.7, 0.75)",35,0.7251268830457223,0.5294117647058824,0.010389610389610386
2020,raw,probability,"[0.75, 0.8)",19,0.7718104667371815,0.5789473684210527,0.10526315789473682
2020,raw,probability,"[0.8, 0.85)",15,0.820011174336417,0.8571428571428571,0.5939393939393939
2020,raw,probability,"[0.85, 1.01)",14,0.9108188994591311,0.7857142857142857,0.5
2020,raw,edge,"[0.0, 0.02)",1293,0.5331246745877319,0.48860958366064416,-0.06616044435069957
2020,raw,edge,"[0.02, 0.04)",817,0.5530156867346935,0.5204968944099378,-0.006231222877489704
2020,raw,edge,"[0.04, 0.06)",565,0.5729725361531713,0.49730700179533216,-0.049879324215607396
2020,raw,edge,"[0.06, 0.08)",289,0.5930734035147028,0.5156794425087108,-0.015413652091852786
2020,raw,edge,"[0.08, 0.1)",142,0.6132490853133985,0.5467625899280576,0.04289372599231756
2020,raw,edge,"[0.1, 0.15)",164,0.6455894260935786,0.5031055900621118,-0.038802660753880266
2020,raw,edge,"[0.15, 1.0)",113,0.757974626148277,0.5818181818181818,0.10780370072405472
2020,const,probability,"[0.5, 0.55)",2535,0.5239906220203829,0.492203118752499,-0.05953021337636722
2020,const,probability,"[0.55, 0.6)",1590,0.5719385901815593,0.4884910485933504,-0.06632361349342479
2020,const,probability,"[0.6, 0.65)",688,0.6216520425729621,0.5007385524372231,-0.04334038054968288
2020,const,probability,"[0.65, 0.7)",284,0.6731882599893808,0.55,0.049295774647887314
2020,const,probability,"[0.7, 0.75)",106,0.7229065428302834,0.5238095238095238,8.3790416952842e-18
2020,const,probability,"[0.75, 0.8)",54,0.7744495024666969,0.5660377358490566,0.07912457912457914
2020,const,probability,"[0.8, 0.85)",26,0.8167971607569562,0.5,-0.04545454545454545
2020,const,probability,"[0.85, 1.01)",41,0.9230045384123259,0.7948717948717948,0.492239467849224
2020,const,edge,"[0.0, 0.02)",946,0.5335355054017082,0.4967948717948718,-0.05102825293100134
2020,const,edge,"[0.02, 0.04)",865,0.5533234622835544,0.4752941176470588,-0.09101418812401471
2020,const,edge,"[0.04, 0.06)",614,0.5731429801723555,0.504950495049505,-0.03553449807521469
2020,const,edge,"[0.06, 0.08)",479,0.5930498366783895,0.4978813559322034,-0.04877585879673561
