season,group,family,slice,bets,wins,losses,pushes,win_rate,roi_per_1_at_minus_110,p_value_gt_breakeven,avg_pick_prob_edge,avg_filter_score,avg_abs_he_vs_market_edge,new_transient_rate,persistent_rate,neutral_rate
2020,promoted_internal_filter,core_strategy,full,519,302,217,0,0.581888246628131,0.11087756174461379,0.004502969887666942,0.10019611814801928,0.6092987314168921,5.777461750238688,0.02119460500963391,0.4277456647398844,0.16184971098265896
2020,promoted_internal_filter,core_strategy,feb15_plus,115,64,51,0,0.5565217391304348,0.0624505928853755,0.2716542568866106,0.06837816670194954,0.5943917166733595,3.872774674393996,0.0,0.40869565217391307,0.11304347826086956
2020,promoted_internal_filter,core_strategy,march_only,36,23,13,0,0.6388888888888888,0.2196969696969697,0.11156704803552076,0.06858124150743491,0.5939154084733752,3.7693323482892915,0.0,0.5555555555555556,0.3611111111111111
2020,promoted_internal_filter,core_strategy,conference_tournaments,17,10,7,0,0.5882352941176471,0.1229946524064171,0.3882034247745463,0.06417065253137591,0.5961646267519349,3.3142563466594037,0.0,0.8823529411764706,0.7647058823529411
2020,promoted_internal_filter,core_strategy,ncaa_tournament,0,0,0,0,,,,,,,,,
2022,promoted_internal_filter,core_strategy,full,672,410,262,0,0.6101190476190477,0.1647727272727273,4.032938966884761e-06,0.12190106029648773,0.6100018374147974,6.074086114771275,0.05654761904761905,0.4851190476190476,0.24107142857142858
2022,promoted_internal_filter,core_strategy,feb15_plus,98,60,38,0,0.6122448979591837,0.16883116883116883,0.04875265104742858,0.09670979196770856,0.5982471823487497,4.454033645675543,0.02040816326530612,0.47959183673469385,0.4387755102040816
2022,promoted_internal_filter,core_strategy,march_only,57,37,20,0,0.6491228070175439,0.23923444976076555,0.038210929579910465,0.08771401547976633,0.6018026811653953,4.081495947025723,0.03508771929824561,0.49122807017543857,0.7543859649122807
2022,promoted_internal_filter,core_strategy,conference_tournaments,43,29,14,0,0.6744186046511628,0.2875264270613107,0.03294537538346552,0.09478200735913847,0.6052952768827055,3.74125165891083,0.046511627906976744,0.4883720930232558,0.9767441860465116
2022,promoted_internal_filter,core_strategy,ncaa_tournament,0,0,0,0,,,,,,,,,
2023,promoted_internal_filter,core_strategy,full,639,379,260,0,0.593114241001565,0.13230900554844216,0.0002504510309903964,0.10470323130912675,0.6127687254297529,5.729039629945892,0.08607198748043818,0.30203442879499215,0.14397496087636932
2023,promoted_internal_filter,core_strategy,feb15_plus,53,30,23,0,0.5660377358490566,0.08061749571183532,0.31713404175947657,0.09217611035878341,0.6171069954398846,4.374842971513008,0.09433962264150944,0.32075471698113206,0.41509433962264153
2023,promoted_internal_filter,core_strategy,march_only,30,14,16,0,0.4666666666666667,-0.1090909090909091,0.7909215766332114,0.0825743060441924,0.6354491550392688,3.8397108741282033,0.16666666666666666,0.3333333333333333,0.7333333333333333
2023,promoted_internal_filter,core_strategy,conference_tournaments,22,11,11,0,0.5,-0.04545454545454546,0.669456770388603,0.07035626106484051,0.6514731358045246,3.601286216834971,0.22727272727272727,0.22727272727272727,1.0
2023,promoted_internal_filter,core_strategy,ncaa_tournament,0,0,0,0,,,,,,,,,
2024,promoted_internal_filter,core_strategy,full,452,265,187,0,0.5862831858407079,0.11926790024135156,0.004401936298467471,0.10468029077130832,0.6081416980612545,6.087443306609482,0.08849557522123894,0.48672566371681414,0.13495575221238937
2024,promoted_internal_filter,core_strategy,feb15_plus,28,15,13,0,0.5357142857142857,0.022727272727272728,0.5262741317191361,0.10180751819622584,0.5958248860298431,4.8072283515436895,0.17857142857142858,0.4642857142857143,0.32142857142857145
2024,promoted_internal_filter,core_strategy,march_only,11,7,4,0,0.6363636363636364,0.21487603305785122,0.3305494077209933,0.11085933455634578,0.6033948519168245,3.4829062663656676,0.45454545454545453,0.36363636363636365,0.8181818181818182
2024,promoted_internal_filter,core_strategy,conference_tournaments,10,6,4,0,0.6,0.14545454545454542,0.43675885863465735,0.10800609688295917,0.6025420088375247,3.2000941914511585,0.5,0.3,0.9
2024,promoted_internal_filter,core_strategy,ncaa_tournament,0,0,0,0,,,,,,,,,
2025,promoted_internal_filter,core_strategy,full,516,313,203,0,0.6065891472868217,0.1580338266384778,9.276047121139346e-05,0.10026169472078564,0.6132622926976048,6.326132327713184,0.1065891472868217,0.42054263565891475,0.13372093023255813
2025,promoted_internal_filter,core_strategy,feb15_plus,41,22,19,0,0.5365853658536586,0.024390243902439022,0.49803677229505683,0.08949357476969638,0.5958121076620436,5.352340329561604,0.0975609756097561,0.5365853658536586,0.24390243902439024
2025,promoted_internal_filter,core_strategy,march_only,22,12,10,0,0.5454545454545454,0.04132231404958677,0.5054166010423131,0.0691106710457489,0.5982566422384177,4.7085564369483475,0.18181818181818182,0.36363636363636365,0.45454545454545453
2025,promoted_internal_filter,core_strategy,conference_tournaments,13,9,4,0,0.6923076923076923,0.32167832167832167,0.17443493298152074,0.06333466854333211,0.6016249108746977,4.223180161618685,0.3076923076923077,0.23076923076923078,0.7692307692307693
2025,promoted_internal_filter,core_strategy,ncaa_tournament,0,0,0,0,,,,,,,,,
2020,raw_edge_baseline,core_strategy,full,1443,778,665,0,0.5391545391545391,0.029295029295029307,0.12694892854305956,0.1405788459452779,0.5299762244944775,2.771266553380391,0.0693000693000693,0.33194733194733195,0.11157311157311157
