group,family,slice,bets,wins,losses,pushes,win_rate,roi_per_1_at_minus_110,p_value_gt_breakeven,avg_pick_prob_edge,avg_filter_score,avg_abs_he_vs_market_edge,new_transient_rate,persistent_rate,neutral_rate
promoted_internal_filter,core_strategy,full,2798,1669,1129,0,0.5964974982130093,0.13876795113392681,6.255985584241529e-15,0.10717483507832398,0.6108041038074961,5.988904037427837,0.07112223016440314,0.42101501072194425,0.16726233023588277
promoted_internal_filter,core_strategy,feb15_plus,335,191,144,0,0.5701492537313433,0.08846675712347353,0.04990983442224379,0.08580964091828965,0.5994069709519615,4.381431073662542,0.04776119402985075,0.43582089552238806,0.28955223880597014
promoted_internal_filter,core_strategy,march_only,156,93,63,0,0.5961538461538461,0.1381118881118881,0.04150521173787988,0.08131884744273328,0.6060652030960088,4.009184424907774,0.10256410256410256,0.44871794871794873,0.6217948717948718
promoted_internal_filter,core_strategy,conference_tournaments,105,65,40,0,0.6190476190476191,0.18181818181818185,0.03117151518054952,0.08207406488376899,0.6127756997922389,3.6509215239266606,0.1523809523809524,0.44761904761904764,0.9142857142857143
promoted_internal_filter,core_strategy,ncaa_tournament,0,0,0,0,,,,,,,,,
raw_edge_baseline,core_strategy,full,7639,4019,3620,0,0.5261159837675088,0.0044032417379714205,0.34752117402189253,0.13690931657064181,0.535839477250635,2.8262206099770606,0.067155386830737,0.3399659641314308,0.12684906401361434
raw_edge_baseline,core_strategy,feb15_plus,1540,753,787,0,0.488961038961039,-0.0665289256198347,0.9971278534771809,0.12809253227171824,0.5263577573425539,2.1566635081248378,0.01818181818181818,0.41948051948051945,0.237012987012987
raw_edge_baseline,core_strategy,march_only,721,349,372,0,0.4840499306518724,-0.07590467784642543,0.9851341459845577,0.12791923203650896,0.5299921545173705,2.083288342850042,0.019417475728155338,0.420249653259362,0.5048543689320388
raw_edge_baseline,core_strategy,conference_tournaments,296,152,144,0,0.5135135135135135,-0.019656019656019652,0.6603949331208374,0.12216308349335506,0.5361617540007046,1.887626902577383,0.02027027027027027,0.44594594594594594,0.8918918918918919
raw_edge_baseline,core_strategy,ncaa_tournament,91,38,53,0,0.4175824175824176,-0.20279720279720279,0.983617845682456,0.13923069513230868,0.5625221794320574,3.235916716221846,0.03296703296703297,0.43956043956043955,1.0
overlap,core_strategy,full,1609,969,640,0,0.6022374145431946,0.14972597321882594,1.4680725631230054e-10,0.16059221729331521,0.6150552599866361,5.703127012246864,0.07582349285270354,0.4064636420136731,0.15910503418272218
overlap,core_strategy,feb15_plus,164,93,71,0,0.5670731707317073,0.08259423503325942,0.15120428708560024,0.1382783283973375,0.5994147882401013,4.1664577867852115,0.036585365853658534,0.40853658536585363,0.2804878048780488
overlap,core_strategy,march_only,70,40,30,0,0.5714285714285714,0.09090909090909091,0.24933816311533766,0.13759336770641376,0.6069721039275813,3.588832056900188,0.08571428571428572,0.38571428571428573,0.6571428571428571
overlap,core_strategy,conference_tournaments,50,27,23,0,0.54,0.030909090909090907,0.46603281113807604,0.132769835488858,0.6130166805786039,3.468606678194719,0.12,0.44,0.92
overlap,core_strategy,ncaa_tournament,0,0,0,0,,,,,,,,,
filter_only,core_strategy,full,1189,700,489,0,0.5887300252312868,0.12393913907791117,3.949026169694628e-06,0.034888402795800084,0.6050512776575918,6.375628371756,0.06476030277544155,0.44070647603027757,0.17830109335576114
