group,slice,season_count_with_bets,profitable_seasons,losing_seasons,breakeven_or_better_seasons,median_season_roi,mean_season_roi,season_roi_std,min_season_roi,max_season_roi,median_season_hit_rate,median_bets_per_season
disagreement_led,conference_tournaments,5,4,1,4,0.3363636363636363,0.2521725164787365,0.16976275075481276,-0.04545454545454547,0.4066985645933013,0.7,11.0
disagreement_led,feb15_plus,5,4,1,4,0.0909090909090909,0.06974703557312252,0.06037751741626851,-0.045454545454545435,0.12055335968379444,0.5714285714285714,25.0
disagreement_led,full,5,5,0,5,0.16348029652750684,0.12786513346696943,0.0651967677699957,0.004381161007667035,0.1818181818181818,0.6094420600858369,235.0
disagreement_led,march_only,5,4,1,4,0.12299465240641708,0.12715119105493436,0.150105729380087,-0.04545454545454547,0.3884297520661157,0.5882352941176471,17.0
disagreement_led,ncaa_tournament,0,0,0,0,,,,,,,
filter_only,conference_tournaments,5,4,1,4,0.3363636363636363,0.2521725164787365,0.16976275075481276,-0.04545454545454547,0.4066985645933013,0.7,11.0
filter_only,feb15_plus,5,4,1,4,0.0909090909090909,0.06974703557312252,0.06037751741626851,-0.045454545454545435,0.12055335968379444,0.5714285714285714,25.0
filter_only,full,5,5,0,5,0.16348029652750684,0.12786513346696943,0.0651967677699957,0.004381161007667035,0.1818181818181818,0.6094420600858369,235.0
filter_only,march_only,5,4,1,4,0.12299465240641708,0.12715119105493436,0.150105729380087,-0.04545454545454547,0.3884297520661157,0.5882352941176471,17.0
filter_only,ncaa_tournament,0,0,0,0,,,,,,,
high_disagreement_ge_6,conference_tournaments,3,1,2,1,-0.04545454545454544,0.16666666666666666,0.5408050999265075,-0.3636363636363636,0.9090909090909091,0.5,3.0
high_disagreement_ge_6,feb15_plus,5,4,1,4,0.0909090909090909,0.10563554092965857,0.1519720785577795,-0.11888111888111884,0.2727272727272727,0.5714285714285714,9.0
high_disagreement_ge_6,full,5,5,0,5,0.14795008912655971,0.16328491720214827,0.04093325536149432,0.1218369259606373,0.22301136363636362,0.6013071895424836,256.0
high_disagreement_ge_6,march_only,5,3,2,3,0.09090909090909087,0.3,0.5187397315522584,-0.3636363636363636,0.9090909090909091,0.5714285714285714,2.0
high_disagreement_ge_6,ncaa_tournament,0,0,0,0,,,,,,,
low_disagreement_lt_4,conference_tournaments,5,4,1,4,0.395104895104895,0.2608391608391608,0.28343124056897984,-0.20454545454545456,0.5909090909090909,0.7307692307692307,12.0
low_disagreement_lt_4,feb15_plus,5,3,2,3,0.14545454545454542,0.04542014806351019,0.17910915471673786,-0.25757575757575757,0.20574162679425834,0.6,18.0
low_disagreement_lt_4,full,5,5,0,5,0.13251155624036978,0.12852046852938914,0.04717036027036595,0.04895104895104896,0.1889952153110048,0.5932203389830508,91.0
low_disagreement_lt_4,march_only,5,4,1,4,0.14545454545454542,0.18099173553719006,0.2815483063492684,-0.23636363636363633,0.5909090909090909,0.6,15.0
low_disagreement_lt_4,ncaa_tournament,0,0,0,0,,,,,,,
medium_disagreement_4_to_6,conference_tournaments,5,4,1,4,0.22727272727272727,0.11303030303030301,0.35130819403945784,-0.5227272727272727,0.5272727272727272,0.6428571428571429,5.0
medium_disagreement_4_to_6,feb15_plus,5,4,1,4,0.21856866537717595,0.08511162757814615,0.216391889124683,-0.30578512396694213,0.25720620842572056,0.6382978723404256,29.0
medium_disagreement_4_to_6,full,5,5,0,5,0.10919248349415948,0.11059213298587453,0.048142547778027484,0.04132231404958678,0.18838992332968235,0.5810055865921788,234.0
medium_disagreement_4_to_6,march_only,5,2,3,2,-0.04545454545454547,0.044466403162055336,0.3678905643325301,-0.5227272727272727,0.5909090909090909,0.5,12.0
medium_disagreement_4_to_6,ncaa_tournament,0,0,0,0,,,,,,,
ncaa_caution,conference_tournaments,0,0,0,0,,,,,,,
ncaa_caution,feb15_plus,4,1,3,1,-0.18749999999999997,-0.1996590909090909,0.18512430908459748,-0.45454545454545453,0.030909090909090907,0.4255952380952381,14.5
ncaa_caution,full,4,1,3,1,-0.18749999999999997,-0.1996590909090909,0.18512430908459748,-0.45454545454545453,0.030909090909090907,0.4255952380952381,14.5
ncaa_caution,march_only,4,1,3,1,-0.18749999999999997,-0.1996590909090909,0.18512430908459748,-0.45454545454545453,0.030909090909090907,0.4255952380952381,14.5
ncaa_caution,ncaa_tournament,4,1,3,1,-0.18749999999999997,-0.1996590909090909,0.18512430908459748,-0.45454545454545453,0.030909090909090907,0.4255952380952381,14.5
neutral_internal_filter,conference_tournaments,5,4,1,4,0.2727272727272727,0.20251748251748253,0.13946559734809094,-0.04545454545454546,0.32167832167832167,0.6666666666666666,13.0
neutral_internal_filter,feb15_plus,5,4,1,4,0.2727272727272727,0.196386404293381,0.13484331331225327,-0.04545454545454546,0.32167832167832167,0.6666666666666666,13.0
neutral_internal_filter,full,5,5,0,5,0.2450592885375494,0.2601179291129398,0.09895014123173257,0.12667660208643816,0.43181818181818177,0.6521739130434783,84.0
neutral_internal_filter,march_only,5,4,1,4,0.2727272727272727,0.196386404293381,0.13484331331225327,-0.04545454545454546,0.32167832167832167,0.6666666666666666,13.0
neutral_internal_filter,ncaa_tournament,0,0,0,0,,,,,,,
new_transient_disagreement,conference_tournaments,4,3,1,3,0.4795454545454545,0.3125,0.5662273201631774,-0.6181818181818182,0.9090909090909091,0.775,4.5
new_transient_disagreement,feb15_plus,4,3,1,3,0.4795454545454545,0.3125,0.5662273201631774,-0.6181818181818182,0.9090909090909091,0.775,4.5
new_transient_disagreement,full,5,5,0,5,0.35371900826446284,0.28470856894301877,0.130736012144898,0.04132231404958676,0.38842975206611585,0.7090909090909091,40.0
new_transient_disagreement,march_only,4,3,1,3,0.4795454545454545,0.3125,0.5662273201631774,-0.6181818181818182,0.9090909090909091,0.775,4.5
new_transient_disagreement,ncaa_tournament,0,0,0,0,,,,,,,
non_neutral_internal_filter,conference_tournaments,4,1,3,1,-0.7613636363636364,-0.40340909090909083,0.782421642104216,-1.0,0.9090909090909091,0.125,2.0
