option,season,bucket_kind,bucket,n,avg_pick_prob,win_rate,roi
raw_mlp_sigma,2020,probability,"[0.5, 0.55)",3520,0.5224481459287363,0.4921829762594094,-0.059245867768595036
raw_mlp_sigma,2020,probability,"[0.55, 0.6)",1306,0.5699498402345181,0.5085669781931464,-0.0286092162049283
raw_mlp_sigma,2020,probability,"[0.6, 0.65)",286,0.6199353986721737,0.5642857142857143,0.07565162110616656
raw_mlp_sigma,2020,probability,"[0.65, 0.7)",101,0.6679119351056799,0.47474747474747475,-0.0918091809180918
raw_mlp_sigma,2020,probability,"[0.7, 0.75)",41,0.7257990705679734,0.5384615384615384,0.026607538802660764
raw_mlp_sigma,2020,probability,"[0.75, 0.8)",20,0.7690571856780997,0.65,0.24090909090909088
raw_mlp_sigma,2020,probability,"[0.8, 0.85)",23,0.8210381190522519,0.8571428571428571,0.5810276679841895
raw_mlp_sigma,2020,probability,"[0.85, 1.01)",29,0.9132387062107354,0.8275862068965517,0.5799373040752349
raw_mlp_sigma,2020,edge,"[0.0, 0.02)",1287,0.5329884449401737,0.48415213946117275,-0.07423889242071059
raw_mlp_sigma,2020,edge,"[0.02, 0.04)",809,0.5529045294379551,0.5226130653266332,-0.0022474435329812295
raw_mlp_sigma,2020,edge,"[0.04, 0.06)",560,0.5728638810168079,0.5027322404371585,-0.03944805194805195
raw_mlp_sigma,2020,edge,"[0.06, 0.08)",282,0.5930738936546788,0.5035971223021583,-0.038039974210186976
raw_mlp_sigma,2020,edge,"[0.08, 0.1)",139,0.6129918681644858,0.5808823529411765,0.1066056245912361
raw_mlp_sigma,2020,edge,"[0.1, 0.15)",173,0.6456628038843814,0.5207100591715976,-0.005780346820809248
raw_mlp_sigma,2020,edge,"[0.15, 1.0)",146,0.7745546121384864,0.6524822695035462,0.23723536737235365
best_posthoc_sigma,2020,probability,"[0.5, 0.55)",2840,0.5238626679399421,0.4888809182209469,-0.06546094750320103
best_posthoc_sigma,2020,probability,"[0.55, 0.6)",1530,0.5714466874782826,0.5079681274900398,-0.029768270944741514
best_posthoc_sigma,2020,probability,"[0.6, 0.65)",571,0.6208671837091052,0.5107913669064749,-0.024199968157936635
best_posthoc_sigma,2020,probability,"[0.65, 0.7)",189,0.6707213765579336,0.5135135135135135,-0.01924001924001924
best_posthoc_sigma,2020,probability,"[0.7, 0.75)",79,0.7240846061366277,0.5822784810126582,0.11162255466052932
best_posthoc_sigma,2020,probability,"[0.75, 0.8)",40,0.774620482693585,0.5641025641025641,0.07499999999999998
best_posthoc_sigma,2020,probability,"[0.8, 0.85)",23,0.8172665295512007,0.7,0.2924901185770751
best_posthoc_sigma,2020,probability,"[0.85, 1.01)",54,0.9221813031587851,0.8490566037735849,0.6094276094276094
best_posthoc_sigma,2020,edge,"[0.0, 0.02)",1064,0.5338646805857697,0.491395793499044,-0.06083390293916609
best_posthoc_sigma,2020,edge,"[0.02, 0.04)",859,0.5530722097833902,0.4929078014184397,-0.05810138639009418
best_posthoc_sigma,2020,edge,"[0.04, 0.06)",607,0.5729408330580127,0.49915397631133673,-0.045828965104088654
best_posthoc_sigma,2020,edge,"[0.06, 0.08)",437,0.5930750134731041,0.4988399071925754,-0.04701477012689827
best_posthoc_sigma,2020,edge,"[0.08, 0.1)",278,0.6128310047363169,0.47794117647058826,-0.08567691301504252
best_posthoc_sigma,2020,edge,"[0.1, 0.15)",340,0.6447929732185701,0.5555555555555556,0.05935828877005347
best_posthoc_sigma,2020,edge,"[0.15, 1.0)",269,0.7692547608559721,0.6183206106870229,0.1757350456235215
constant_14_sigma,2020,probability,"[0.5, 0.55)",2524,0.5239955046749564,0.494758064516129,-0.05449502953464917
constant_14_sigma,2020,probability,"[0.55, 0.6)",1581,0.5716987164549084,0.49032258064516127,-0.06267609683169453
constant_14_sigma,2020,probability,"[0.6, 0.65)",673,0.6216121703255757,0.5037821482602118,-0.037552343644468446
constant_14_sigma,2020,probability,"[0.65, 0.7)",281,0.6732714849740677,0.5563636363636364,0.06082174053704301
constant_14_sigma,2020,probability,"[0.7, 0.75)",104,0.7226227845577243,0.5294117647058824,0.01048951048951048
constant_14_sigma,2020,probability,"[0.75, 0.8)",59,0.7745043619562342,0.5689655172413793,0.08474576271186442
constant_14_sigma,2020,probability,"[0.8, 0.85)",35,0.818378357834194,0.5428571428571428,0.036363636363636355
constant_14_sigma,2020,probability,"[0.85, 1.01)",69,0.9262999049824001,0.8461538461538461,0.579710144927536
constant_14_sigma,2020,edge,"[0.0, 0.02)",929,0.5334604898246577,0.5043572984749455,-0.03669634993639299
constant_14_sigma,2020,edge,"[0.02, 0.04)",877,0.5532585353989926,0.47435897435897434,-0.09236031927023945
constant_14_sigma,2020,edge,"[0.04, 0.06)",614,0.57310892814209,0.5165562913907285,-0.013621557595498966
constant_14_sigma,2020,edge,"[0.06, 0.08)",465,0.5932232038029421,0.48464912280701755,-0.07331378299120235
constant_14_sigma,2020,edge,"[0.08, 0.1)",317,0.6131570745234972,0.4887459807073955,-0.06567249784915401
constant_14_sigma,2020,edge,"[0.1, 0.15)",429,0.6449410072667607,0.5274463007159904,0.0067810976901886
constant_14_sigma,2020,edge,"[0.15, 1.0)",401,0.761457718267021,0.5943877551020408,0.13171616413511675
hgbr_residual_log_scalar,2020,probability,"[0.5, 0.55)",3182,0.5233208045242524,0.49168266154830453,-0.0602536997885835
hgbr_residual_log_scalar,2020,probability,"[0.55, 0.6)",1398,0.5705746183919103,0.4989043097151205,-0.04656002080894785
hgbr_residual_log_scalar,2020,probability,"[0.6, 0.65)",450,0.6203763903604426,0.528344671201814,0.008484848484848491
hgbr_residual_log_scalar,2020,probability,"[0.65, 0.7)",150,0.6706828969207794,0.5436241610738255,0.03757575757575758
hgbr_residual_log_scalar,2020,probability,"[0.7, 0.75)",59,0.7224720527456561,0.603448275862069,0.14946070878274265
hgbr_residual_log_scalar,2020,probability,"[0.75, 0.8)",24,0.7735135377326889,0.6666666666666666,0.2727272727272727
hgbr_residual_log_scalar,2020,probability,"[0.8, 0.85)",21,0.8199781048334154,0.5555555555555556,0.051948051948051945
hgbr_residual_log_scalar,2020,probability,"[0.85, 1.01)",42,0.9115764803408206,0.9512195121951219,0.7965367965367963
hgbr_residual_log_scalar,2020,edge,"[0.0, 0.02)",1218,0.5335610769122427,0.48327759197324416,-0.07598148977459321
hgbr_residual_log_scalar,2020,edge,"[0.02, 0.04)",849,0.5533510781085298,0.4952038369304556,-0.053646000642467065
