season,option,fit_mode,scalar_c,affine_a,affine_b,top200_overlap_vs_raw,top200_churn_vs_raw,n_games,gaussian_nll,cover_logloss,cover_brier,mean_sigma,std_sigma,mean_abs_z,cov1,cov2,top100_roi,top100_winrate,top100_avg_prob,top200_roi,top200_winrate,top200_avg_prob,top500_roi,top500_winrate,top500_avg_prob
2020,best_posthoc_sigma,,,,,167,66,5326,3.959065679028827,0.701299991481587,0.25376962456635405,16.1108248851105,1.3780234050624942,0.5682533069434339,0.8377769432970334,0.9902365752910252,0.43363636363636354,0.7604166666666666,0.8662955787291828,0.2468181818181818,0.6564102564102564,0.7978924703757574,0.0967272727272727,0.5755102040816327,0.7149719559468387
2020,constant_14_sigma,,,,,153,94,5326,3.902160723768998,0.7052076737964973,0.25542735851144366,14.0,0.0,0.6499398995088214,0.7833270747277506,0.98028539241457,0.4145454545454544,0.75,0.8935530515486358,0.23727272727272727,0.6512820512820513,0.8279925808158451,0.11581818181818183,0.5857142857142857,0.7424415560717469
2020,hgbr_residual_log_affine,in_sample_single_season,,0.0,2.0000000000000013,150,100,5326,3.936038964272019,0.7029834819778769,0.2545725905083963,15.048975986687706,2.3899356797267526,0.618871043101109,0.7994742771310552,0.9838527975966954,0.43363636363636354,0.7604166666666666,0.8836973924721218,0.28045454545454546,0.6752577319587629,0.8141764817916868,0.11018181818181817,0.5828220858895705,0.7314311380627433
2020,hgbr_residual_log_scalar,in_sample_single_season,2.5000000000000018,,,150,100,5326,4.044516735684586,0.6975815972461136,0.2522542023378645,18.80763115741416,2.9718616667730724,0.4951371656584246,0.8858430341719865,0.994742771310552,0.43363636363636354,0.7604166666666666,0.8370461982256976,0.28045454545454546,0.6752577319587629,0.7689004982905436,0.11018181818181817,0.5828220858895705,0.6932714659095816
2020,raw_mlp_sigma,,,,,200,0,5326,4.158834664285315,0.6968915019566769,0.2517587174468212,22.443299540442002,5.512093620249977,0.4310030033885599,0.9194517461509576,0.9969958693203155,0.3663636363636363,0.7216494845360825,0.8131013129094136,0.14681818181818182,0.6030927835051546,0.7442140529052917,0.0969090909090909,0.5758196721311475,0.6705346685821548
2022,best_posthoc_sigma,,,,,178,44,5463,3.8751666548376162,0.7009467255762203,0.25320221804816506,13.341536018845364,0.4190603815018673,0.6685363380339174,0.7704557935200439,0.9756544023430349,0.3745454545454545,0.72,0.890079967056749,0.22681818181818175,0.6432160804020101,0.833319992152318,0.1349090909090909,0.5959183673469388,0.7504164686208236
2022,constant_14_sigma,,,,,174,52,5463,3.890369122856064,0.6999436644182224,0.25273659425134826,14.0,0.0,0.6370100054714246,0.7935200439319056,0.980962840929892,0.37454545454545446,0.72,0.8837936759195312,0.22227272727272726,0.6414141414141414,0.8267989115032996,0.12527272727272726,0.5906313645621182,0.7436613079433131
2022,hgbr_residual_log_affine,season_oof,,6.0,2.0000000000000013,173,54,5463,4.109076337458968,0.692496647010789,0.24968234355994853,20.938951500688916,0.5891457223705132,0.4262033156833311,0.9269632070291048,0.9998169503935567,0.3936363636363636,0.73,0.7934264538913369,0.22227272727272726,0.6414141414141414,0.7411045621864867,0.12527272727272726,0.5906313645621182,0.6736182302140405
2022,hgbr_residual_log_scalar,season_oof,2.5000000000000018,,,173,54,5463,4.032952682562866,0.6939173397723091,0.25030184806757133,18.673689386248043,0.7364321301025002,0.4782555644226859,0.8973091707852828,0.9970712062969065,0.3936363636363636,0.73,0.8184709223522809,0.2318181818181818,0.6464646464646465,0.7639713919817719,0.12145454545454547,0.5885947046843177,0.6917339340371988
2022,raw_mlp_sigma,,,,,200,0,5463,3.8673364823123184,0.7066287208528831,0.2554450223908059,11.366144075381456,1.6762415260074692,0.797353154626161,0.6926597107816218,0.9436207212154494,0.3745454545454545,0.72,0.9165943506408906,0.2509090909090909,0.6565656565656566,0.8599700339879429,0.13109090909090912,0.5938775510204082,0.7791404831036527
2023,best_posthoc_sigma,,,,,170,60,5773,3.8850070080125505,0.703666249394011,0.2546972756407129,13.411120727098155,0.5614030451084662,0.6842055460686749,0.7592239736705353,0.9783474796466308,0.29818181818181816,0.68,0.855314957907239,0.23636363636363636,0.6482412060301508,0.8044166736649562,0.12072727272727272,0.5871743486973948,0.7340091152105738
2023,constant_14_sigma,,,,,161,78,5773,3.8995801276919773,0.7028237431853402,0.2542639265281241,14.0,0.0,0.6556495273325055,0.778624631907154,0.981465442577516,0.3081818181818181,0.6868686868686869,0.858580359624728,0.2268181818181818,0.6432160804020101,0.8048062544674344,0.11309090909090908,0.5831663326653307,0.731675774404672
2023,hgbr_residual_log_affine,season_oof,,6.0,2.0000000000000013,162,76,5773,4.10868783731947,0.6948390530345773,0.2508535314084908,20.824497276754162,0.8172165986304339,0.4409872318435254,0.9275939719383336,0.9996535596743461,0.3081818181818181,0.6868686868686869,0.7667399279332421,0.23636363636363633,0.6482412060301508,0.7202806583419477,0.11690909090909091,0.5851703406813628,0.6628565803870277
2023,hgbr_residual_log_scalar,season_oof,2.5000000000000018,,,161,78,5773,4.0323282348723755,0.6962642520075256,0.2515080682801071,18.53062161915269,1.0215207550852348,0.4960943739591667,0.8936428200242508,0.9977481378832496,0.33636363636363625,0.7,0.7893064106250526,0.24590909090909085,0.6532663316582915,0.7410740319474456,0.11309090909090906,0.5831663326653307,0.6799624274514231
2023,raw_mlp_sigma,,,,,200,0,5773,3.879285888450336,0.7087849182400608,0.2569099942208946,11.644482908392622,2.2456121804338647,0.8050731437449901,0.6835267625151568,0.9487268318032219,0.2981818181818181,0.68,0.8655756442655147,0.16454545454545452,0.61,0.8201328968516073,0.10163636363636362,0.5771543086172345,0.7535813833271083
2024,best_posthoc_sigma,,,,,170,60,5309,3.893750471368465,0.7131409393409242,0.2585411710379253,13.278189099111177,0.5245892576513943,0.6985821373251035,0.7432661518176681,0.9749482011678282,-0.02636363636363635,0.51,0.8354102672338566,-0.08363636363636363,0.48,0.7905694621432986,-0.03781818181818181,0.504,0.7258217593225491
2024,constant_14_sigma,,,,,161,78,5309,3.9088651639389034,0.71195856503939,0.25796073587659185,14.0,0.0,0.6624700898097209,0.7724618572235826,0.9821058579770201,-0.06454545454545454,0.49,0.8329696587299451,-0.08363636363636363,0.48,0.7866702191656663,-0.030181818181818174,0.508,0.7200683141554568
2024,hgbr_residual_log_affine,season_oof,,6.0,2.0000000000000013,163,74,5309,4.121716496014734,0.7009672103862595,0.25356605687379374,21.081780416589602,0.5562806990100405,0.44003251440855334,0.9267281974006404,0.9994349218308533,-0.08363636363636363,0.48,0.7410071325865563,-0.08363636363636363,0.48,0.7028742193082551,-0.041636363636363624,0.502,0.6522643963946902
2024,hgbr_residual_log_scalar,season_oof,2.5000000000000018,,,161,78,5309,4.048596072747231,0.7030935884538708,0.25447391642700184,18.8522255030431,0.6953508825790296,0.4923132839353438,0.8918817103032586,0.9979280467131286,-0.08363636363636363,0.48,0.7639821785740811,-0.09318181818181817,0.475,0.7232794883613362,-0.0378181818181818,0.504,0.6684648098338255
2024,raw_mlp_sigma,,,,,200,0,5309,3.9070590758694057,0.7206093490531114,0.2615881122123564,11.112756396444713,2.098357030605577,0.8556568015770805,0.6585044264456583,0.9327556978715389,-0.12181818181818184,0.46,0.861143447486002,-0.0168181818181818,0.515,0.8173508034984411,-0.030181818181818174,0.508,0.7550522413912586
2025,best_posthoc_sigma,,,,,165,70,5437,3.8928934788387592,0.7110316410883135,0.2580051695635227,13.601734654592507,0.4898866146645188,0.6699925413865829,0.7737723009012323,0.9759058304211882,-0.1409090909090909,0.45,0.7947285206168841,-0.09318181818181817,0.475,0.7579547334290266,-0.02254545454545454,0.512,0.7077448890867026
2025,constant_14_sigma,,,,,155,90,5437,3.902654387925932,0.7105517600588789,0.257770265281981,14.0,0.0,0.6510305829610603,0.7859113481699467,0.9788486297590583,-0.15999999999999998,0.44,0.7934942085602866,-0.08363636363636363,0.48,0.7565061060758259,-0.02254545454545453,0.512,0.7060884471239474
2025,hgbr_residual_log_affine,season_oof,,6.0,2.0000000000000013,154,92,5437,4.131385954744253,0.7003616482592558,0.2534182599636387,21.46115935793777,0.8546168749576825,0.4250564199614548,0.9334191649806879,0.9988964502482987,-0.17909090909090902,0.43,0.7020695200778359,-0.08363636363636363,0.48,0.6739832848380872,-0.02254545454545453,0.512,0.6380547028303649
2025,hgbr_residual_log_scalar,season_oof,2.5000000000000018,,,152,96,5437,4.060733926839601,0.7020739565604681,0.2541920164828471,19.32644920303516,1.0682710944617229,0.47254827052978143,0.906198271105389,0.9974250505793636,-0.17909090909090908,0.43,0.720732808156439,-0.08363636363636363,0.48,0.6907774068662743,-0.026363636363636356,0.51,0.6520176465190975
2025,raw_mlp_sigma,,,,,200,0,5437,3.8844899116457747,0.7140696503497036,0.25930187594219656,12.40693861837003,1.9595464586580753,0.7475031420360942,0.721905462571271,0.9584329593525841,-0.16000000000000003,0.44,0.8117699206628334,-0.08363636363636363,0.48,0.773295508961961,-0.018727272727272724,0.514,0.7210708460481386
