season,fit_mode,scalar_c,affine_a,affine_b,train_seasons
2020,in_sample_single_season,2.5000000000000018,0.0,2.0000000000000013,2019
2022,season_oof,2.5000000000000018,6.0,2.0000000000000013,"2019,2020"
2023,season_oof,2.5000000000000018,6.0,2.0000000000000013,"2019,2020,2022"
2024,season_oof,2.5000000000000018,6.0,2.0000000000000013,"2019,2020,2022,2023"
2025,season_oof,2.5000000000000018,6.0,2.0000000000000013,"2019,2020,2022,2023,2024"
