season,gameId,game_date,startDate,slice,homeTeam,awayTeam,book_spread,predicted_spread,model_pick_side,pick_cover_prob,pick_prob_edge,raw_logit_score,filter_score,score_lift_vs_raw_logit,flagged_mainly_by_disagreement,persistence_label,he_market_edge_for_pick,abs_he_vs_market_edge,pick_team_recent_same_sign_count_21d,pick_team_prior_same_sign_streak,neutral_site_flag,signal_driver,usage_label
2026,372230,2026-03-06,2026-03-07 01:00:00+00:00,conference_tournaments,Tennessee State,UT Martin,-1.75,3.99,HOME,0.585,0.061,0.518,0.675,0.156,True,persistent,12.199,12.199,3,3,True,disagreement-led persistent,decision-useful internal candidate
2026,372227,2026-03-06,2026-03-06 23:00:00+00:00,conference_tournaments,Texas State,Southern Miss,-1.5,-0.228,AWAY,0.55,0.027,0.505,0.596,0.092,True,none,5.613,5.613,0,0,True,disagreement-led support,decision-useful internal candidate
2026,212080,2026-03-06,2026-03-07 00:00:00+00:00,march_only,Ohio,Miami (OH),4.0,-4.49,AWAY,0.514,-0.01,0.483,0.792,0.309,True,persistent,22.027,22.027,6,26,False,disagreement-led persistent,decision-useful internal candidate
2026,372180,2026-03-06,2026-03-07 02:30:00+00:00,conference_tournaments,North Dakota,Denver,3.25,0.982,HOME,0.634,0.11,0.525,0.628,0.103,False,none,7.313,7.313,0,0,True,raw edge led,decision-useful internal candidate
2026,372234,2026-03-06,2026-03-07 03:25:00+00:00,conference_tournaments,Illinois State,Northern Iowa,1.75,2.789,HOME,0.631,0.107,0.527,0.617,0.091,False,persistent,4.729,4.729,5,29,True,raw edge + persistent disagreement support,decision-useful internal candidate
