model,n_games,n_lined,MAE_all,RMSE_all,MedAE_all,WinAcc_all,MAE_lined,BookMAE_lined,DeltaVsBook_MAE
HistGradientBoosting,36557,32829,9.598416634146458,12.386510011286695,7.805086135864258,0.7403506852312827,9.097075205063197,8.80095342532517,0.29612177973802645
HistGradientBoostingSwapSafeV2,36557,32829,9.598416634146458,12.386510011286695,7.805086135864258,0.7403506852312827,9.097075205063197,8.80095342532517,0.29612177973802645
HistGradientBoostingSwapSafeV2NeutralAugmented,36557,32829,9.609455553606825,12.39870814068351,7.826016426086426,0.740514812484613,9.096373255586176,8.80095342532517,0.2954198302610056
