gameId,game_date,homeTeamId,awayTeamId,homeTeam,awayTeam,home_team_name,away_team_name,homeScore,awayScore,actual_margin,he_pred_margin,he_pred_sigma,he_home_win_prob,torvik_pred_margin,torvik_pred_sigma,torvik_home_win_prob,book_spread
1545,2024-12-01,187,154,Navy,Maine,Navy,Maine,66.0,71.0,-5.0,-4.5312862,11.415219,0.31952354,-4.204836,10.1639595,0.3395467055162378,2.5
1574,2024-12-01,296,297,Texas Southern,Texas State,Texas Southern,Texas St.,59.0,72.0,-13.0,-10.605594,11.25302,0.13524929,-0.94542426,10.591624,0.46443704366710764,4.5
1573,2024-12-01,230,68,Portland,Denver,Portland,Denver,101.0,90.0,11.0,2.6608706,9.796661,0.6648326,4.31084,11.290503,0.6486992823106937,-6.5
1572,2024-12-01,110,13,Hofstra,Arkansas State,Hofstra,Arkansas St.,68.0,66.0,2.0,-6.2427917,11.8057,0.24811953,-8.176309,10.872512,0.2260205608367214,6.5
1543,2024-12-01,359,267,Xavier,South Carolina State,Xavier,South Carolina St.,71.0,68.0,3.0,18.302475,12.262188,0.9452111,19.32481,13.060093,0.9305211973900696,-26.5
1571,2024-12-01,188,203,Nebraska,North Florida,Nebraska,North Florida,103.0,72.0,31.0,10.494797,14.751012,0.67413497,15.645522,11.926261,0.9052154201753826,-17.5
1566,2024-12-01,284,238,Stonehill,Quinnipiac,Stonehill,Quinnipiac,88.0,74.0,14.0,0.95025307,11.066105,0.4752187,-2.2019498,11.626707,0.42489466103655243,6.5
1567,2024-12-01,27,250,Boston University,Sacred Heart,Boston University,Sacred Heart,65.0,73.0,-8.0,3.034295,12.983603,0.56101084,6.143439,10.991653,0.7118913442246805,-5.5
1570,2024-12-01,356,197,Wofford,North Alabama,Wofford,North Alabama,74.0,54.0,20.0,-5.336555,12.899541,0.33329365,3.49068,9.570509,0.6423446269558053,-4.5
1564,2024-12-01,222,176,Oral Roberts,Missouri State,Oral Roberts,Missouri St.,67.0,72.0,-5.0,-1.7414113,10.68411,0.5705499,-0.883734,11.287073,0.46879625131272695,1.5
1565,2024-12-01,305,171,UAB,Middle Tennessee,UAB,Middle Tennessee,69.0,76.0,-7.0,-5.073782,9.655426,0.38626194,7.7029467,10.364521,0.771320716889342,-8.5
1562,2024-12-01,302,78,Troy,Eastern Kentucky,Troy,Eastern Kentucky,84.0,74.0,10.0,4.2371817,11.320973,0.65013224,7.8923264,10.261052,0.7790989594966221,-8.5
1563,2024-12-01,173,23,Minnesota,Bethune-Cookman,Minnesota,Bethune Cookman,79.0,62.0,17.0,10.27879,12.605413,0.7229809,15.791574,10.175236,0.9396642740071113,-16.5
1569,2024-12-01,312,39,UCF,California Baptist,UCF,Cal Baptist,74.0,59.0,15.0,9.323564,12.778664,0.77114844,10.704702,9.97613,0.858371554396046,-9.5
1561,2024-12-01,227,81,Pennsylvania,Elon,Penn,Elon,53.0,68.0,-15.0,-7.1294017,12.711105,0.35547212,-2.1791136,11.496494,0.4248324818422568,2.5
1560,2024-12-01,138,24,Lafayette,Binghamton,Lafayette,Binghamton,81.0,82.0,-1.0,6.683591,12.665422,0.7676033,4.8999634,10.365252,0.6817970185266574,-6.5
1546,2024-12-01,161,186,Massachusetts,NJIT,Massachusetts,NJIT,80.0,68.0,12.0,14.02973,11.804787,0.8681518,14.266901,10.7840185,0.9070768352029006,-18.5
1548,2024-12-01,285,196,Stony Brook,Norfolk State,Stony Brook,Norfolk St.,66.0,77.0,-11.0,-11.735822,12.961528,0.17205812,-5.210349,11.705782,0.3281204810769223,5.5
