season,gameId,game_date,startDate,slice,homeTeam,awayTeam,book_spread,predicted_spread,model_pick_side,pick_cover_prob,pick_prob_edge,raw_logit_score,filter_score,score_lift_vs_raw_logit,flagged_mainly_by_disagreement,persistence_label,he_market_edge_for_pick,abs_he_vs_market_edge,pick_team_recent_same_sign_count_21d,pick_team_prior_same_sign_streak,neutral_site_flag,signal_driver,usage_label,filter_pass,raw_edge_pass
2026,372445,2026-03-15,2026-03-15 16:00:00+00:00,conference_tournaments,Yale,Pennsylvania,-8.5,5.346,AWAY,0.574,0.05,0.512,0.439,-0.073,False,persistent,-4.336,4.336,3,12,True,below internal threshold,below internal threshold,False,False
2026,372447,2026-03-15,2026-03-15 17:00:00+00:00,conference_tournaments,VCU,Dayton,-3.5,0.274,AWAY,0.583,0.059,0.514,0.529,0.015,False,persistent,-0.193,0.193,4,22,True,below internal threshold,below internal threshold,False,False
2026,372446,2026-03-15,2026-03-15 17:00:00+00:00,conference_tournaments,Arkansas,Vanderbilt,1.5,-0.386,HOME,0.527,0.003,0.495,0.54,0.044,False,persistent,0.938,0.938,4,25,True,below internal threshold,below internal threshold,False,False
2026,372448,2026-03-15,2026-03-15 19:15:00+00:00,conference_tournaments,South Florida,Wichita State,-5.5,3.576,AWAY,0.548,0.024,0.503,0.505,0.002,False,persistent,-1.257,1.257,3,28,True,below internal threshold,below internal threshold,False,False
2026,372449,2026-03-15,2026-03-15 19:30:00+00:00,conference_tournaments,Michigan,Purdue,-6.5,2.382,AWAY,0.587,0.063,0.517,0.493,-0.025,False,persistent,-2.515,2.515,4,31,True,below internal threshold,below internal threshold,False,False
