scope,bucket,n,mean_market_margin,mean_model_margin,mean_actual_margin,model_minus_market,actual_minus_model,actual_minus_market,resid_std,mae_model,mae_market
pooled,<2,1481,1.276839972991222,0.5896951458319888,0.812288993923025,-0.6871448271592334,0.22259384809103624,-0.46455097906819715,10.908690703947386,8.852702601357919,8.74814314652262
pooled,2-5,3973,3.269317895796627,2.6856041325485642,2.3752831613390386,-0.5837137632480632,-0.3103209712095256,-0.8940347344575887,11.328034822268794,8.958991677188784,8.749307827837907
pooled,5-8,2846,6.274420238931834,5.606579047062042,5.967673928320449,-0.6678411918697912,0.3610948812584068,-0.3067463106113844,11.55235936287355,9.16176126769347,8.9975404075896
pooled,8-10,1321,8.813020439061317,7.799373207995065,8.866010598031794,-1.0136472310662523,1.0666373900367292,0.05299015897047691,11.235002140086515,8.657423927619739,8.590461771385314
pooled,10-12,874,10.757437070938215,9.443345299541184,10.645308924485127,-1.3140917713970306,1.2019636249439414,-0.11212814645308924,11.083703371079386,8.699378845654172,8.55720823798627
pooled,12-15,917,13.229552889858233,11.591523925447088,12.65866957470011,-1.6380289644111454,1.0671456492530214,-0.5708833151581243,11.130959387848339,8.658934278488054,8.588331515812431
pooled,15-20,708,16.920197740112993,15.01734461899115,17.240112994350284,-1.9028531211218451,2.2227683753591334,0.3199152542372881,11.807475411553881,9.41190658050966,9.201271186440678
pooled,20+,610,26.40737704918033,21.95032484020676,26.052459016393442,-4.457052208973568,4.1021341761866825,-0.3549180327868853,12.921276965880391,10.549508045753878,10.004098360655737
dec15,<2,1101,1.2770208900999092,0.6272777857647407,1.0099909173478656,-0.6497431043351686,0.3827131315831249,-0.2670299727520436,10.8251293931253,8.768127080418015,8.568574023614895
dec15,2-5,2940,3.2595238095238095,2.8122636470770637,2.359863945578231,-0.4472601624467455,-0.45239970149883263,-0.8996598639455783,11.160329734909222,8.820549929430765,8.576190476190476
dec15,5-8,2072,6.255550193050193,5.802739612929115,6.148648648648648,-0.4528105801210769,0.34590903571953246,-0.1069015444015444,11.471310011402672,9.12640062743188,8.902268339768339
dec15,8-10,986,8.811359026369168,7.9520663107484735,8.982758620689655,-0.8592927156206949,1.0306923099411816,0.17139959432048682,11.208022673399928,8.639311771694983,8.406693711967545
dec15,10-12,635,10.76771653543307,9.783414166430294,11.045669291338582,-0.9843023690027771,1.2622551249082892,0.27795275590551183,10.98284467734417,8.641417922408225,8.416535433070866
dec15,12-15,626,13.207667731629392,11.590833450787146,12.987220447284345,-1.6168342808422471,1.396386996497199,-0.22044728434504793,10.840258437669169,8.537402843633545,8.416932907348242
dec15,15-20,408,16.84436274509804,14.69250358808507,16.931372549019606,-2.1518591570129675,2.238868960934536,0.08700980392156862,11.645558393839979,9.078398380824753,8.952205882352942
dec15,20+,258,25.23643410852713,20.97304796470052,26.26356589147287,-4.26338614382661,5.290517926772346,1.0271317829457365,11.972315521047848,10.275313869713973,9.476744186046512
