view,bucket,n,share
market,<5,5454,0.42843676355066773
market,5-10,4167,0.327336999214454
market,10-15,1791,0.14069128043990572
market,15+,1318,0.1035349567949725
model,<5,5775,0.45365278868813824
model,5-10,4174,0.3278868813825609
model,10-15,1713,0.13456402199528672
model,15+,1068,0.08389630793401413
actual,<5,5410,0.42498036135113904
actual,5-10,2191,0.1721131186174391
actual,10-15,1937,0.15216025137470543
actual,15+,3192,0.2507462686567164
