variant,rows,logloss,brier,ece10,prob_std,prob_ge_0_8_n,prob_ge_0_8_avg,prob_ge_0_8_actual,dec15_rows,dec15_logloss,dec15_brier,dec15_ece10
meta_small_v1,35864,0.49579766072854464,0.16670060825748384,0.009557599103130091,0.2372185222185156,12390,0.918278641089229,0.919774011299435,23595,0.544467194533045,0.18500429538646715,0.01100401779755345
beta_cap14,35864,0.4976533340623102,0.1670602100483694,0.0064502212717610025,0.23552169382341825,12325,0.9179341376341248,0.9178904665314401,23595,0.5462921302016536,0.18544406798843957,0.00878478476296622
phase_beta_cap14,35864,0.4977882720676805,0.16708905755365322,0.0063315310858814275,0.23557763459168654,12312,0.9183454638972249,0.9175601039636128,23595,0.5463057342155497,0.1854443151490388,0.008444905597399735
phase_logistic_cap14,35864,0.49780137918144357,0.16717335830861763,0.00958084961560379,0.2368811858575099,12565,0.9139132987860967,0.9150815758058098,23595,0.546516667964693,0.18550665460892718,0.01107500582888267
cap14_mu_sigma,35864,0.4981072543277697,0.1671864878408151,0.014503988012250826,0.22205127449491122,11510,0.9129601771446489,0.926498696785404,23595,0.5465345733143361,0.1855036253713076,0.014530667497228507
raw_mu_sigma,35864,0.5034893278969583,0.16800697909134327,0.02080866170774661,0.21370894632074108,11224,0.8944816137701432,0.92712045616536,23595,0.5484475968575911,0.18580091561734194,0.016232473255334334
