gameid,date,repair_mode,suspicious_rows,home_teamid,away_teamid,shared_possessions_formula
1589,2024-12-03,drop_both_sides_corrupted,2,280,50,
1578,2024-12-03,repair_from_clean_side_and_actual_score,1,128,517,50.425
1593,2024-12-04,repair_from_clean_side_and_actual_score,1,292,286,54.5
1655,2024-12-04,repair_from_clean_side_and_actual_score,1,314,20,54.675
1639,2024-12-04,repair_from_clean_side_and_actual_score,1,276,549,52.95
1642,2024-12-04,repair_from_clean_side_and_actual_score,1,10,258,51.275
1664,2024-12-04,repair_from_clean_side_and_actual_score,1,160,216,53.075
1638,2024-12-04,drop_both_sides_corrupted,2,248,6,
1605,2024-12-04,repair_from_clean_side_and_actual_score,1,103,539,51.9
1634,2024-12-04,repair_from_clean_side_and_actual_score,1,121,255,61.6
1614,2024-12-04,repair_from_clean_side_and_actual_score,1,33,737,70.85
1660,2024-12-04,repair_from_clean_side_and_actual_score,1,182,505,60.65
1643,2024-12-04,repair_from_clean_side_and_actual_score,1,25,330,44.5
1650,2024-12-05,repair_from_clean_side_and_actual_score,1,72,16,61.7
1651,2024-12-05,repair_from_clean_side_and_actual_score,1,125,157,67.75
1652,2024-12-05,repair_from_clean_side_and_actual_score,1,200,5,77.7
1680,2024-12-05,repair_from_clean_side_and_actual_score,1,32,277,46.75
1688,2024-12-05,repair_from_clean_side_and_actual_score,1,333,99,50.225
1689,2024-12-05,repair_from_clean_side_and_actual_score,1,171,649,55.65
1692,2024-12-05,repair_from_clean_side_and_actual_score,1,297,742,51.325
1670,2024-12-05,repair_from_clean_side_and_actual_score,1,146,738,48.7
1707,2024-12-05,repair_from_clean_side_and_actual_score,1,57,153,48.8
1666,2024-12-05,repair_from_clean_side_and_actual_score,1,366,688,56.8
1717,2024-12-05,repair_from_clean_side_and_actual_score,1,143,272,51.7
1677,2024-12-05,repair_from_clean_side_and_actual_score,1,278,740,55.9
1691,2024-12-05,repair_from_clean_side_and_actual_score,1,349,711,51.75
1681,2024-12-05,repair_from_clean_side_and_actual_score,1,268,741,57.9
1657,2024-12-05,repair_from_clean_side_and_actual_score,1,174,229,50.9
1678,2024-12-05,drop_both_sides_corrupted,2,141,178,
1669,2024-12-05,repair_from_clean_side_and_actual_score,1,353,584,58.7
1704,2024-12-05,repair_from_clean_side_and_actual_score,1,228,570,56.375
1732,2024-12-06,repair_from_clean_side_and_actual_score,1,294,139,66.275
1720,2024-12-06,repair_from_clean_side_and_actual_score,1,743,45,55.65
1743,2024-12-06,repair_from_clean_side_and_actual_score,1,110,677,51.125
1726,2024-12-06,repair_from_clean_side_and_actual_score,1,203,744,61.7
1790,2024-12-07,repair_from_clean_side_and_actual_score,1,94,199,66.3
1759,2024-12-07,repair_from_clean_side_and_actual_score,1,42,166,64.3
1793,2024-12-07,drop_both_sides_corrupted,2,11,276,
1837,2024-12-07,repair_from_clean_side_and_actual_score,1,294,282,49.125
1768,2024-12-07,repair_from_clean_side_and_actual_score,1,200,101,75.875
1835,2024-12-07,drop_both_sides_corrupted,2,289,338,
1839,2024-12-07,repair_from_clean_side_and_actual_score,1,228,103,49.375
1846,2024-12-07,repair_from_clean_side_and_actual_score,1,209,208,51.55
1802,2024-12-07,drop_both_sides_corrupted,2,28,182,
1751,2024-12-07,repair_from_clean_side_and_actual_score,1,85,747,60.8
1801,2024-12-07,repair_from_clean_side_and_actual_score,1,300,509,48.175
1838,2024-12-07,repair_from_clean_side_and_actual_score,1,325,751,57.65
1761,2024-12-07,repair_from_clean_side_and_actual_score,1,305,232,53.8
1830,2024-12-07,repair_from_clean_side_and_actual_score,1,162,648,60.425
1818,2024-12-07,repair_from_clean_side_and_actual_score,1,3,750,57.75
1814,2024-12-07,repair_from_clean_side_and_actual_score,1,21,621,53.325
1806,2024-12-07,repair_from_clean_side_and_actual_score,1,64,141,49.275
1779,2024-12-07,repair_from_clean_side_and_actual_score,1,169,188,49.7
1844,2024-12-07,repair_from_clean_side_and_actual_score,1,343,323,50.65
1805,2024-12-07,drop_both_sides_corrupted,2,319,587,
1762,2024-12-07,repair_from_clean_side_and_actual_score,1,349,688,53.425
1785,2024-12-07,repair_from_clean_side_and_actual_score,1,84,748,52.55
1824,2024-12-07,drop_both_sides_corrupted,2,327,262,
1843,2024-12-07,repair_from_clean_side_and_actual_score,1,326,139,51.8
1821,2024-12-07,repair_from_clean_side_and_actual_score,1,105,53,53.8
1798,2024-12-07,repair_from_clean_side_and_actual_score,1,58,749,52.85
1880,2024-12-08,repair_from_clean_side_and_actual_score,1,298,293,65.7
1848,2024-12-08,repair_from_clean_side_and_actual_score,1,81,356,54.375
1891,2024-12-08,repair_from_clean_side_and_actual_score,1,42,264,58.175
1874,2024-12-08,repair_from_clean_side_and_actual_score,1,125,126,56.8
1889,2024-12-08,repair_from_clean_side_and_actual_score,1,312,288,62.275
1882,2024-12-08,drop_both_sides_corrupted,2,91,154,
1875,2024-12-08,repair_from_clean_side_and_actual_score,1,236,160,67.275
1764,2024-12-08,repair_from_clean_side_and_actual_score,1,102,135,73.55
1855,2024-12-08,repair_from_clean_side_and_actual_score,1,142,175,63.325
1887,2024-12-08,repair_from_clean_side_and_actual_score,1,15,60,53.8
1892,2024-12-08,drop_both_sides_corrupted,2,31,634,
1873,2024-12-08,repair_from_clean_side_and_actual_score,1,16,242,55.225
1867,2024-12-08,repair_from_clean_side_and_actual_score,1,329,330,50.275
1910,2024-12-08,repair_from_clean_side_and_actual_score,1,147,644,52.325
1770,2024-12-08,repair_from_clean_side_and_actual_score,1,220,366,49.175
1911,2024-12-09,repair_from_clean_side_and_actual_score,1,27,752,54.225
1919,2024-12-10,repair_from_clean_side_and_actual_score,1,292,168,68.75
1917,2024-12-10,repair_from_clean_side_and_actual_score,1,20,1,49.025
1918,2024-12-10,repair_from_clean_side_and_actual_score,1,260,754,58.375
1925,2024-12-10,repair_from_clean_side_and_actual_score,1,317,756,56.375
1924,2024-12-10,repair_from_clean_side_and_actual_score,1,274,755,54.75
1915,2024-12-10,drop_both_sides_corrupted,2,267,47,
1914,2024-12-10,repair_from_clean_side_and_actual_score,1,58,753,49.425
1920,2024-12-11,repair_from_clean_side_and_actual_score,1,72,120,62.3
1959,2024-12-11,repair_from_clean_side_and_actual_score,1,20,196,54.65
1938,2024-12-11,repair_from_clean_side_and_actual_score,1,359,182,51.65
1951,2024-12-11,repair_from_clean_side_and_actual_score,1,179,764,54.325
1943,2024-12-11,drop_both_sides_corrupted,2,195,561,
1940,2024-12-11,repair_from_clean_side_and_actual_score,1,347,199,40.65
1958,2024-12-11,repair_from_clean_side_and_actual_score,1,233,765,53.375
1947,2024-12-11,repair_from_clean_side_and_actual_score,1,303,275,47.7
1936,2024-12-11,repair_from_clean_side_and_actual_score,1,165,761,58.8
1928,2024-12-11,repair_from_clean_side_and_actual_score,1,366,758,56.95
1939,2024-12-11,repair_from_clean_side_and_actual_score,1,362,646,48.85
1968,2024-12-12,repair_from_clean_side_and_actual_score,1,73,154,57.225
1985,2024-12-12,repair_from_clean_side_and_actual_score,1,334,733,52.75
1962,2024-12-12,repair_from_clean_side_and_actual_score,1,114,584,57.5
1976,2024-12-12,repair_from_clean_side_and_actual_score,1,229,78,52.425
1972,2024-12-12,repair_from_clean_side_and_actual_score,1,279,31,63.025
1986,2024-12-12,repair_from_clean_side_and_actual_score,1,354,533,54.9
1981,2024-12-12,repair_from_clean_side_and_actual_score,1,18,92,60.75
1984,2024-12-13,repair_from_clean_side_and_actual_score,1,124,125,70.125
1992,2024-12-13,repair_from_clean_side_and_actual_score,1,295,192,50.425
1994,2024-12-13,drop_both_sides_corrupted,2,202,768,
1987,2024-12-13,repair_from_clean_side_and_actual_score,1,299,41,45.75
2041,2024-12-14,repair_from_clean_side_and_actual_score,1,94,362,62.775
2012,2024-12-14,drop_both_sides_corrupted,2,236,293,
2029,2024-12-14,drop_both_sides_corrupted,2,42,154,
2059,2024-12-14,repair_from_clean_side_and_actual_score,1,200,137,81.725
2004,2024-12-14,repair_from_clean_side_and_actual_score,1,118,292,67.1
2018,2024-12-14,repair_from_clean_side_and_actual_score,1,11,313,61.6
2032,2024-12-14,repair_from_clean_side_and_actual_score,1,312,304,64.35
2024,2024-12-14,drop_both_sides_corrupted,2,226,59,
2010,2024-12-14,repair_from_clean_side_and_actual_score,1,87,10,55.75
2005,2024-12-14,repair_from_clean_side_and_actual_score,1,16,216,43.65
2052,2024-12-14,repair_from_clean_side_and_actual_score,1,159,770,54.375
2035,2024-12-14,repair_from_clean_side_and_actual_score,1,140,769,56.225
2072,2024-12-14,repair_from_clean_side_and_actual_score,1,302,771,56.65
2045,2024-12-14,repair_from_clean_side_and_actual_score,1,53,621,51.125
2023,2024-12-14,repair_from_clean_side_and_actual_score,1,177,146,46.6
2015,2024-12-14,repair_from_clean_side_and_actual_score,1,220,275,45.325
2020,2024-12-14,drop_both_sides_corrupted,2,269,349,
2068,2024-12-14,repair_from_clean_side_and_actual_score,1,231,567,59.425
2078,2024-12-15,drop_both_sides_corrupted,2,81,584,
2101,2024-12-15,repair_from_clean_side_and_actual_score,1,125,221,52.85
2100,2024-12-15,repair_from_clean_side_and_actual_score,1,108,294,60.925
2009,2024-12-15,repair_from_clean_side_and_actual_score,1,314,102,67.975
2089,2024-12-15,repair_from_clean_side_and_actual_score,1,78,77,54.75
2013,2024-12-15,repair_from_clean_side_and_actual_score,1,217,218,53.175
2092,2024-12-15,repair_from_clean_side_and_actual_score,1,116,774,47.95
2122,2024-12-15,drop_both_sides_corrupted,2,168,233,
2109,2024-12-15,repair_from_clean_side_and_actual_score,1,167,731,57.9
2127,2024-12-15,repair_from_clean_side_and_actual_score,1,295,14,54.8
2131,2024-12-15,repair_from_clean_side_and_actual_score,1,325,557,63.7
2081,2024-12-15,drop_both_sides_corrupted,2,191,558,
2121,2024-12-15,repair_from_clean_side_and_actual_score,1,79,237,50.225
2128,2024-12-15,drop_both_sides_corrupted,2,120,732,
2125,2024-12-15,drop_both_sides_corrupted,2,280,777,
2124,2024-12-15,repair_from_clean_side_and_actual_score,1,272,776,57.125
2112,2024-12-15,repair_from_clean_side_and_actual_score,1,247,597,54.0
2085,2024-12-15,repair_from_clean_side_and_actual_score,1,63,69,52.75
2120,2024-12-15,drop_both_sides_corrupted,2,202,351,
2097,2024-12-15,repair_from_clean_side_and_actual_score,1,189,296,52.65
2106,2024-12-15,repair_from_clean_side_and_actual_score,1,181,590,54.325
2113,2024-12-15,repair_from_clean_side_and_actual_score,1,365,775,52.95
2123,2024-12-15,repair_from_clean_side_and_actual_score,1,124,193,50.9
2102,2024-12-15,drop_both_sides_corrupted,2,223,282,
2090,2024-12-15,repair_from_clean_side_and_actual_score,1,262,773,52.75
2140,2024-12-16,drop_both_sides_corrupted,2,323,180,
2139,2024-12-16,repair_from_clean_side_and_actual_score,1,36,670,49.275
2169,2024-12-17,drop_both_sides_corrupted,2,14,668,
2171,2024-12-17,repair_from_clean_side_and_actual_score,1,279,65,51.075
2146,2024-12-17,drop_both_sides_corrupted,2,255,779,
2141,2024-12-17,drop_both_sides_corrupted,2,158,778,
2149,2024-12-17,drop_both_sides_corrupted,2,143,657,
2153,2024-12-17,drop_both_sides_corrupted,2,298,222,
2152,2024-12-17,drop_both_sides_corrupted,2,209,179,
2156,2024-12-17,drop_both_sides_corrupted,2,330,780,
2176,2024-12-18,repair_from_clean_side_and_actual_score,1,99,94,75.775
2218,2024-12-18,drop_both_sides_corrupted,2,294,783,
2162,2024-12-18,repair_from_clean_side_and_actual_score,1,200,87,75.825
2159,2024-12-18,repair_from_clean_side_and_actual_score,1,292,348,57.95
2201,2024-12-18,repair_from_clean_side_and_actual_score,1,25,296,52.75
2173,2024-12-18,repair_from_clean_side_and_actual_score,1,320,522,46.375
2185,2024-12-18,repair_from_clean_side_and_actual_score,1,142,587,62.9
2203,2024-12-18,drop_both_sides_corrupted,2,136,283,
2174,2024-12-18,repair_from_clean_side_and_actual_score,1,199,516,60.55
2192,2024-12-18,repair_from_clean_side_and_actual_score,1,160,278,53.475
2205,2024-12-18,repair_from_clean_side_and_actual_score,1,224,249,51.9
2160,2024-12-18,repair_from_clean_side_and_actual_score,1,16,100,53.8
2195,2024-12-18,drop_both_sides_corrupted,2,216,335,
2223,2024-12-18,repair_from_clean_side_and_actual_score,1,97,61,50.9
2219,2024-12-18,repair_from_clean_side_and_actual_score,1,233,584,58.025
2202,2024-12-18,drop_both_sides_corrupted,2,331,85,
2164,2024-12-18,repair_from_clean_side_and_actual_score,1,313,232,54.65
2175,2024-12-18,repair_from_clean_side_and_actual_score,1,302,495,54.025
2183,2024-12-18,repair_from_clean_side_and_actual_score,1,109,646,50.95
2184,2024-12-18,repair_from_clean_side_and_actual_score,1,264,277,50.75
2258,2024-12-19,repair_from_clean_side_and_actual_score,1,151,42,58.375
2210,2024-12-19,drop_both_sides_corrupted,2,102,195,
2259,2024-12-19,repair_from_clean_side_and_actual_score,1,11,256,52.225
2253,2024-12-19,repair_from_clean_side_and_actual_score,1,204,175,56.225
2275,2024-12-19,repair_from_clean_side_and_actual_score,1,120,787,57.85
2269,2024-12-19,drop_both_sides_corrupted,2,261,133,
2246,2024-12-19,repair_from_clean_side_and_actual_score,1,305,4,57.4
2273,2024-12-19,repair_from_clean_side_and_actual_score,1,328,783,58.275
2254,2024-12-19,drop_both_sides_corrupted,2,119,208,
2262,2024-12-19,repair_from_clean_side_and_actual_score,1,345,754,66.375
2226,2024-12-19,repair_from_clean_side_and_actual_score,1,49,784,52.7
2228,2024-12-19,drop_both_sides_corrupted,2,106,733,
2225,2024-12-19,repair_from_clean_side_and_actual_score,1,93,751,57.025
2276,2024-12-19,repair_from_clean_side_and_actual_score,1,319,584,54.65
2249,2024-12-19,drop_both_sides_corrupted,2,336,299,
2278,2024-12-20,repair_from_clean_side_and_actual_score,1,98,33,48.325
2277,2024-12-20,repair_from_clean_side_and_actual_score,1,278,788,45.275
2299,2024-12-20,drop_both_sides_corrupted,2,239,584,
2285,2024-12-20,repair_from_clean_side_and_actual_score,1,270,789,50.325
2286,2024-12-20,repair_from_clean_side_and_actual_score,1,295,193,50.125
2304,2024-12-20,drop_both_sides_corrupted,2,237,509,
2292,2024-12-20,repair_from_clean_side_and_actual_score,1,192,720,54.175
2384,2024-12-21,repair_from_clean_side_and_actual_score,1,74,94,74.1
2375,2024-12-21,drop_both_sides_corrupted,2,29,42,
2346,2024-12-21,repair_from_clean_side_and_actual_score,1,285,154,64.45
2330,2024-12-21,repair_from_clean_side_and_actual_score,1,313,200,67.45
2320,2024-12-21,repair_from_clean_side_and_actual_score,1,16,236,89.875
2399,2024-12-21,repair_from_clean_side_and_actual_score,1,11,45,50.75
2385,2024-12-21,repair_from_clean_side_and_actual_score,1,304,175,72.8
2421,2024-12-21,repair_from_clean_side_and_actual_score,1,312,127,63.65
2369,2024-12-21,repair_from_clean_side_and_actual_score,1,142,324,53.85
2410,2024-12-21,repair_from_clean_side_and_actual_score,1,261,269,55.8
2391,2024-12-21,repair_from_clean_side_and_actual_score,1,13,54,48.65
2341,2024-12-21,drop_both_sides_corrupted,2,160,286,
2344,2024-12-21,repair_from_clean_side_and_actual_score,1,122,595,56.95
2312,2024-12-21,drop_both_sides_corrupted,2,282,701,
2319,2024-12-21,repair_from_clean_side_and_actual_score,1,153,274,51.125
2359,2024-12-21,repair_from_clean_side_and_actual_score,1,346,791,60.075
2315,2024-12-21,repair_from_clean_side_and_actual_score,1,201,790,47.225
2355,2024-12-21,repair_from_clean_side_and_actual_score,1,229,255,51.125
2388,2024-12-21,repair_from_clean_side_and_actual_score,1,326,520,57.325
2363,2024-12-21,drop_both_sides_corrupted,2,28,280,
2377,2024-12-21,repair_from_clean_side_and_actual_score,1,12,198,56.075
2311,2024-12-21,repair_from_clean_side_and_actual_score,1,246,650,55.65
2364,2024-12-21,repair_from_clean_side_and_actual_score,1,19,82,44.225
2383,2024-12-21,repair_from_clean_side_and_actual_score,1,271,76,53.8
2318,2024-12-21,repair_from_clean_side_and_actual_score,1,18,85,53.9
2386,2024-12-21,drop_both_sides_corrupted,2,336,17,
2337,2024-12-21,repair_from_clean_side_and_actual_score,1,62,337,49.125
2381,2024-12-21,repair_from_clean_side_and_actual_score,1,228,307,49.7
2402,2024-12-21,repair_from_clean_side_and_actual_score,1,225,117,51.375
2378,2024-12-21,repair_from_clean_side_and_actual_score,1,341,793,58.95
2415,2024-12-21,repair_from_clean_side_and_actual_score,1,80,754,57.9
2323,2024-12-21,repair_from_clean_side_and_actual_score,1,87,203,56.225
2313,2024-12-21,repair_from_clean_side_and_actual_score,1,303,630,54.325
2376,2024-12-21,repair_from_clean_side_and_actual_score,1,137,792,51.8
2356,2024-12-21,repair_from_clean_side_and_actual_score,1,298,139,48.95
2392,2024-12-21,repair_from_clean_side_and_actual_score,1,56,21,52.175
2425,2024-12-22,repair_from_clean_side_and_actual_score,1,81,320,62.275
2434,2024-12-22,repair_from_clean_side_and_actual_score,1,125,182,61.125
2327,2024-12-22,repair_from_clean_side_and_actual_score,1,102,32,59.425
2475,2024-12-22,repair_from_clean_side_and_actual_score,1,145,670,50.8
2452,2024-12-22,repair_from_clean_side_and_actual_score,1,95,227,49.8
2461,2024-12-22,repair_from_clean_side_and_actual_score,1,305,7,50.5
2472,2024-12-22,repair_from_clean_side_and_actual_score,1,185,243,48.875
2325,2024-12-22,repair_from_clean_side_and_actual_score,1,281,223,50.5
2469,2024-12-22,repair_from_clean_side_and_actual_score,1,323,274,55.025
2455,2024-12-22,repair_from_clean_side_and_actual_score,1,283,797,58.65
2470,2024-12-22,repair_from_clean_side_and_actual_score,1,249,698,47.9
2438,2024-12-22,repair_from_clean_side_and_actual_score,1,51,103,40.275
2453,2024-12-22,repair_from_clean_side_and_actual_score,1,355,69,49.175
2467,2024-12-22,repair_from_clean_side_and_actual_score,1,136,193,60.075
2436,2024-12-22,repair_from_clean_side_and_actual_score,1,131,30,48.85
2442,2024-12-22,drop_both_sides_corrupted,2,96,796,
2435,2024-12-22,repair_from_clean_side_and_actual_score,1,5,134,59.75
2447,2024-12-22,drop_both_sides_corrupted,2,167,250,
2450,2024-12-22,repair_from_clean_side_and_actual_score,1,335,745,54.425
2466,2024-12-22,repair_from_clean_side_and_actual_score,1,172,798,53.325
2440,2024-12-22,repair_from_clean_side_and_actual_score,1,53,717,55.7
2483,2024-12-23,repair_from_clean_side_and_actual_score,1,341,799,56.95
2482,2024-12-24,repair_from_clean_side_and_actual_score,1,292,171,69.65
2487,2024-12-24,repair_from_clean_side_and_actual_score,1,202,36,50.825
2497,2024-12-28,repair_from_clean_side_and_actual_score,1,293,1,53.275
2498,2024-12-28,repair_from_clean_side_and_actual_score,1,313,102,61.55
2495,2024-12-28,repair_from_clean_side_and_actual_score,1,20,742,61.6
2520,2024-12-28,repair_from_clean_side_and_actual_score,1,320,584,53.8
2526,2024-12-28,repair_from_clean_side_and_actual_score,1,106,114,57.975
2501,2024-12-28,drop_both_sides_corrupted,2,181,506,
2496,2024-12-28,repair_from_clean_side_and_actual_score,1,73,511,47.8
2509,2024-12-28,repair_from_clean_side_and_actual_score,1,321,800,55.8
2513,2024-12-28,repair_from_clean_side_and_actual_score,1,65,152,53.55
2533,2024-12-28,repair_from_clean_side_and_actual_score,1,279,66,58.425
2518,2024-12-28,repair_from_clean_side_and_actual_score,1,271,802,47.85
2519,2024-12-28,repair_from_clean_side_and_actual_score,1,255,554,57.9
2529,2024-12-28,repair_from_clean_side_and_actual_score,1,37,664,54.75
2521,2024-12-28,drop_both_sides_corrupted,2,219,803,
2522,2024-12-28,drop_both_sides_corrupted,2,332,592,
2531,2024-12-28,repair_from_clean_side_and_actual_score,1,192,805,47.8
2507,2024-12-28,repair_from_clean_side_and_actual_score,1,356,590,49.475
2512,2024-12-28,repair_from_clean_side_and_actual_score,1,101,4,56.225
2502,2024-12-28,repair_from_clean_side_and_actual_score,1,97,59,49.7
2535,2024-12-29,repair_from_clean_side_and_actual_score,1,81,158,60.8
2596,2024-12-29,drop_both_sides_corrupted,2,294,787,
2570,2024-12-29,repair_from_clean_side_and_actual_score,1,154,27,56.5
2554,2024-12-29,repair_from_clean_side_and_actual_score,1,236,300,53.175
2562,2024-12-29,repair_from_clean_side_and_actual_score,1,226,227,57.85
2566,2024-12-29,repair_from_clean_side_and_actual_score,1,250,809,46.95
2604,2024-12-29,repair_from_clean_side_and_actual_score,1,143,814,57.95
2550,2024-12-29,drop_both_sides_corrupted,2,5,270,
2565,2024-12-29,repair_from_clean_side_and_actual_score,1,291,786,60.325
2536,2024-12-29,drop_both_sides_corrupted,2,296,520,
2551,2024-12-29,repair_from_clean_side_and_actual_score,1,87,283,54.325
2586,2024-12-29,repair_from_clean_side_and_actual_score,1,343,186,41.6
2598,2024-12-29,repair_from_clean_side_and_actual_score,1,129,717,52.75
2580,2024-12-29,drop_both_sides_corrupted,2,133,791,
2561,2024-12-29,drop_both_sides_corrupted,2,44,808,
2571,2024-12-29,repair_from_clean_side_and_actual_score,1,111,810,52.375
2552,2024-12-29,repair_from_clean_side_and_actual_score,1,223,345,49.7
2538,2024-12-29,repair_from_clean_side_and_actual_score,1,310,655,55.375
2546,2024-12-29,repair_from_clean_side_and_actual_score,1,38,670,55.425
2547,2024-12-29,repair_from_clean_side_and_actual_score,1,327,720,55.925
2591,2024-12-29,drop_both_sides_corrupted,2,105,237,
2581,2024-12-29,repair_from_clean_side_and_actual_score,1,272,556,54.375
2541,2024-12-29,repair_from_clean_side_and_actual_score,1,221,628,50.7
2555,2024-12-29,drop_both_sides_corrupted,2,118,50,
2582,2024-12-29,repair_from_clean_side_and_actual_score,1,201,811,54.75
2545,2024-12-29,repair_from_clean_side_and_actual_score,1,230,344,52.85
2609,2024-12-30,repair_from_clean_side_and_actual_score,1,200,41,84.975
2607,2024-12-30,repair_from_clean_side_and_actual_score,1,136,175,67.0
2623,2024-12-30,repair_from_clean_side_and_actual_score,1,249,592,49.325
2626,2024-12-30,repair_from_clean_side_and_actual_score,1,319,517,49.175
2619,2024-12-30,repair_from_clean_side_and_actual_score,1,103,520,57.425
2622,2024-12-30,repair_from_clean_side_and_actual_score,1,318,658,53.85
2621,2024-12-30,repair_from_clean_side_and_actual_score,1,45,511,57.85
2608,2024-12-30,repair_from_clean_side_and_actual_score,1,170,350,58.225
2654,2024-12-31,repair_from_clean_side_and_actual_score,1,72,340,64.75
2611,2024-12-31,repair_from_clean_side_and_actual_score,1,56,125,68.8
2660,2024-12-31,repair_from_clean_side_and_actual_score,1,298,312,72.55
2653,2024-12-31,repair_from_clean_side_and_actual_score,1,292,196,51.8
2616,2024-12-31,repair_from_clean_side_and_actual_score,1,228,102,74.75
2641,2024-12-31,repair_from_clean_side_and_actual_score,1,11,287,65.55
2658,2024-12-31,drop_both_sides_corrupted,2,20,331,
2670,2024-12-31,drop_both_sides_corrupted,2,359,263,
2635,2024-12-31,repair_from_clean_side_and_actual_score,1,326,534,52.75
2657,2024-12-31,repair_from_clean_side_and_actual_score,1,135,30,50.9
2646,2024-12-31,repair_from_clean_side_and_actual_score,1,188,274,48.325
2630,2024-12-31,repair_from_clean_side_and_actual_score,1,208,688,64.55
2680,2024-12-31,repair_from_clean_side_and_actual_score,1,260,57,52.425
2639,2024-12-31,repair_from_clean_side_and_actual_score,1,265,819,50.95
2617,2024-12-31,repair_from_clean_side_and_actual_score,1,12,214,57.6
2643,2024-12-31,repair_from_clean_side_and_actual_score,1,206,821,58.275
2629,2024-12-31,repair_from_clean_side_and_actual_score,1,215,817,51.95
2633,2024-12-31,repair_from_clean_side_and_actual_score,1,124,190,61.275
2642,2024-12-31,drop_both_sides_corrupted,2,104,31,
2644,2024-12-31,repair_from_clean_side_and_actual_score,1,336,193,50.175
2637,2024-12-31,repair_from_clean_side_and_actual_score,1,222,818,47.0
2640,2024-12-31,repair_from_clean_side_and_actual_score,1,128,820,49.225
2672,2024-12-31,drop_both_sides_corrupted,2,199,587,
2681,2024-12-31,repair_from_clean_side_and_actual_score,1,231,774,58.9
2665,2024-12-31,drop_both_sides_corrupted,2,91,252,
2628,2024-12-31,repair_from_clean_side_and_actual_score,1,337,816,53.8
2631,2024-12-31,repair_from_clean_side_and_actual_score,1,167,509,57.325
2701,2025-01-01,repair_from_clean_side_and_actual_score,1,150,200,69.525
2700,2025-01-01,repair_from_clean_side_and_actual_score,1,62,824,53.95
2693,2025-01-01,drop_both_sides_corrupted,2,348,93,
2692,2025-01-01,repair_from_clean_side_and_actual_score,1,360,114,48.125
2709,2025-01-03,repair_from_clean_side_and_actual_score,1,173,236,50.65
2708,2025-01-03,repair_from_clean_side_and_actual_score,1,102,230,55.85
2743,2025-01-03,repair_from_clean_side_and_actual_score,1,89,171,52.375
2735,2025-01-03,drop_both_sides_corrupted,2,321,301,
2710,2025-01-03,repair_from_clean_side_and_actual_score,1,86,163,57.125
2766,2025-01-03,drop_both_sides_corrupted,2,37,38,
2744,2025-01-03,repair_from_clean_side_and_actual_score,1,142,350,70.925
2726,2025-01-03,drop_both_sides_corrupted,2,158,297,
2728,2025-01-03,drop_both_sides_corrupted,2,219,13,
2739,2025-01-03,drop_both_sides_corrupted,2,362,283,
2717,2025-01-03,repair_from_clean_side_and_actual_score,1,109,239,44.85
2707,2025-01-03,repair_from_clean_side_and_actual_score,1,223,118,59.225
2821,2025-01-04,repair_from_clean_side_and_actual_score,1,94,233,63.6
2791,2025-01-04,repair_from_clean_side_and_actual_score,1,125,20,96.55
2874,2025-01-04,repair_from_clean_side_and_actual_score,1,246,294,63.675
2806,2025-01-04,repair_from_clean_side_and_actual_score,1,213,200,67.975
2833,2025-01-04,repair_from_clean_side_and_actual_score,1,31,154,89.65
2789,2025-01-04,repair_from_clean_side_and_actual_score,1,292,12,57.175
2798,2025-01-04,repair_from_clean_side_and_actual_score,1,51,11,62.925
2839,2025-01-04,drop_both_sides_corrupted,2,203,143,
2822,2025-01-04,repair_from_clean_side_and_actual_score,1,186,826,58.6
2796,2025-01-04,repair_from_clean_side_and_actual_score,1,113,18,40.8
2809,2025-01-04,repair_from_clean_side_and_actual_score,1,338,65,47.275
2793,2025-01-04,drop_both_sides_corrupted,2,5,217,
2804,2025-01-04,repair_from_clean_side_and_actual_score,1,101,26,50.225
2790,2025-01-04,repair_from_clean_side_and_actual_score,1,16,177,49.6
2891,2025-01-04,drop_both_sides_corrupted,2,303,328,
2778,2025-01-04,drop_both_sides_corrupted,2,355,124,
2899,2025-01-04,drop_both_sides_corrupted,2,130,222,
2890,2025-01-04,repair_from_clean_side_and_actual_score,1,10,56,51.9
2795,2025-01-05,repair_from_clean_side_and_actual_score,1,293,295,63.075
2909,2025-01-05,repair_from_clean_side_and_actual_score,1,81,106,63.325
2952,2025-01-05,repair_from_clean_side_and_actual_score,1,250,42,60.55
2928,2025-01-05,repair_from_clean_side_and_actual_score,1,312,131,102.7
2931,2025-01-05,drop_both_sides_corrupted,2,236,212,
2800,2025-01-05,repair_from_clean_side_and_actual_score,1,153,102,59.075
2945,2025-01-05,repair_from_clean_side_and_actual_score,1,30,808,48.8
2906,2025-01-05,drop_both_sides_corrupted,2,100,148,
2926,2025-01-05,drop_both_sides_corrupted,2,230,253,
2946,2025-01-05,drop_both_sides_corrupted,2,60,623,
2910,2025-01-05,drop_both_sides_corrupted,2,225,228,
2922,2025-01-05,drop_both_sides_corrupted,2,37,310,
2962,2025-01-07,repair_from_clean_side_and_actual_score,1,193,294,75.575
2966,2025-01-07,repair_from_clean_side_and_actual_score,1,4,175,69.075
2963,2025-01-07,drop_both_sides_corrupted,2,211,162,
3000,2025-01-08,repair_from_clean_side_and_actual_score,1,200,248,66.55
2971,2025-01-08,repair_from_clean_side_and_actual_score,1,87,292,99.3
