awayConference,awayScore,awayTeam_x,awayTeamId_x,gameId,homeConference,homeScore,homeTeam_x,homeTeamId_x,season,seasonType,startDate_x,source_key,source_asof,provider,spread,overUnder,homeMoneyline,awayMoneyline,spreadOpen,overUnderOpen,startDate_y,homeTeam_y,awayTeam_y,homeTeamId_y,awayTeamId_y,spread_sign_for_votes,action,confidence,repair_reason,majority_sign_sum,peer_same_sign_count,peer_opposite_sign_count,non_consensus_same_sign_count,non_consensus_opposite_sign_count,original_spread,repaired_spread,original_spreadOpen,repaired_spreadOpen
Big South,65.0,Longwood,147,215002,Big South,72.0,Presbyterian,233,2026,regular,2026-02-20T00:00:00.000Z,bronze/lines/season=2026/asof=2026-03-11/part-0ba225cd.parquet,2026-03-11,Bovada,-2.5,139.5,-150.0,130.0,-2.5,138.5,2026-02-20T00:00:00.000Z,Presbyterian,Longwood,233,147,,keep,none,,0.0,0,0,0,0,-2.5,-2.5,-2.5,-2.5
Big South,65.0,Longwood,147,215002,Big South,72.0,Presbyterian,233,2026,regular,2026-02-20T00:00:00.000Z,bronze/lines/season=2026/asof=2026-03-11/part-0ba225cd.parquet,2026-03-11,Draft Kings,-2.5,139.5,,,-2.5,138.5,2026-02-20T00:00:00.000Z,Presbyterian,Longwood,233,147,,keep,none,,0.0,0,0,0,0,-2.5,-2.5,-2.5,-2.5
Big South,70.0,Gardner-Webb,94,215003,Big South,82.0,Radford,239,2026,regular,2026-02-20T00:00:00.000Z,bronze/lines/season=2026/asof=2026-03-11/part-0ba225cd.parquet,2026-03-11,Bovada,-18.5,162.0,,,-19.5,161.5,2026-02-20T00:00:00.000Z,Radford,Gardner-Webb,239,94,-1.0,keep,none,,-2.0,1,0,1,0,-18.5,-18.5,-19.5,-19.5
Big South,70.0,Gardner-Webb,94,215003,Big South,82.0,Radford,239,2026,regular,2026-02-20T00:00:00.000Z,bronze/lines/season=2026/asof=2026-03-11/part-0ba225cd.parquet,2026-03-11,Draft Kings,-18.5,162.5,,,-19.5,161.5,2026-02-20T00:00:00.000Z,Radford,Gardner-Webb,239,94,-1.0,keep,none,,-2.0,1,0,1,0,-18.5,-18.5,-19.5,-19.5
Big West,65.0,Cal State Bakersfield,36,215004,Big West,93.0,UC Riverside,309,2026,regular,2026-02-20T03:00:00.000Z,bronze/lines/season=2026/asof=2026-03-11/part-0ba225cd.parquet,2026-03-11,Draft Kings,-6.5,150.5,,,-5.5,150.5,2026-02-20T03:00:00.000Z,UC Riverside,Cal State Bakersfield,309,36,-1.0,keep,none,,-1.0,0,0,0,0,-6.5,-6.5,-5.5,-5.5
NEC,51.0,Stonehill,284,215005,NEC,64.0,New Haven,1507,2026,regular,2026-02-20T00:00:00.000Z,bronze/lines/season=2026/asof=2026-03-11/part-0ba225cd.parquet,2026-03-11,Bovada,-2.5,120.0,-145.0,125.0,-2.5,120.5,2026-02-20T00:00:00.000Z,New Haven,Stonehill,1507,284,,keep,none,,0.0,0,0,0,0,-2.5,-2.5,-2.5,-2.5
NEC,51.0,Stonehill,284,215005,NEC,64.0,New Haven,1507,2026,regular,2026-02-20T00:00:00.000Z,bronze/lines/season=2026/asof=2026-03-11/part-0ba225cd.parquet,2026-03-11,Draft Kings,-2.5,121.5,,,-2.5,119.5,2026-02-20T00:00:00.000Z,New Haven,Stonehill,1507,284,,keep,none,,0.0,0,0,0,0,-2.5,-2.5,-2.5,-2.5
Big West,85.0,Cal State Northridge,38,215006,Big West,83.0,UC Santa Barbara,311,2026,regular,2026-02-20T02:00:00.000Z,bronze/lines/season=2026/asof=2026-03-11/part-0ba225cd.parquet,2026-03-11,Bovada,-5.0,156.5,-165.0,140.0,-4.0,157.5,2026-02-20T02:00:00.000Z,UC Santa Barbara,Cal State Northridge,311,38,-1.0,keep,none,,-2.0,1,0,1,0,-5.0,-5.0,-4.0,-4.0
Big West,85.0,Cal State Northridge,38,215006,Big West,83.0,UC Santa Barbara,311,2026,regular,2026-02-20T02:00:00.000Z,bronze/lines/season=2026/asof=2026-03-11/part-0ba225cd.parquet,2026-03-11,Draft Kings,-5.5,156.5,,,-3.5,157.5,2026-02-20T02:00:00.000Z,UC Santa Barbara,Cal State Northridge,311,38,-1.0,keep,none,,-2.0,1,0,1,0,-5.5,-5.5,-3.5,-3.5
SWAC,82.0,Prairie View A&M,232,215007,SWAC,84.0,Arkansas-Pine Bluff,14,2026,regular,2026-02-21T23:30:00.000Z,bronze/lines/season=2026/asof=2026-03-11/part-0ba225cd.parquet,2026-03-11,Bovada,-3.0,158.0,-160.0,135.0,-3.0,158.0,2026-02-21T23:30:00.000Z,Arkansas-Pine Bluff,Prairie View A&M,14,232,-1.0,keep,none,,-2.0,1,0,1,0,-3.0,-3.0,-3.0,-3.0
SWAC,82.0,Prairie View A&M,232,215007,SWAC,84.0,Arkansas-Pine Bluff,14,2026,regular,2026-02-21T23:30:00.000Z,bronze/lines/season=2026/asof=2026-03-11/part-0ba225cd.parquet,2026-03-11,Draft Kings,-3.5,158.5,,,-3.5,158.5,2026-02-21T23:30:00.000Z,Arkansas-Pine Bluff,Prairie View A&M,14,232,-1.0,keep,none,,-2.0,1,0,1,0,-3.5,-3.5,-3.5,-3.5
Big Ten,64.0,Indiana,121,215008,Big Ten,93.0,Purdue,236,2026,regular,2026-02-21T01:00:00.000Z,bronze/lines/season=2026/asof=2026-03-11/part-0ba225cd.parquet,2026-03-11,Bovada,-11.5,150.0,-750.0,500.0,-10.0,148.5,2026-02-21T01:00:00.000Z,Purdue,Indiana,236,121,-1.0,keep,none,,-2.0,1,0,1,0,-11.5,-11.5,-10.0,-10.0
Big Ten,64.0,Indiana,121,215008,Big Ten,93.0,Purdue,236,2026,regular,2026-02-21T01:00:00.000Z,bronze/lines/season=2026/asof=2026-03-11/part-0ba225cd.parquet,2026-03-11,Draft Kings,-12.5,149.5,-650.0,470.0,-10.5,148.5,2026-02-21T01:00:00.000Z,Purdue,Indiana,236,121,-1.0,keep,none,,-2.0,1,0,1,0,-12.5,-12.5,-10.5,-10.5
MAAC,64.0,Saint Peter's,254,215009,MAAC,72.0,Iona,123,2026,regular,2026-02-21T00:00:00.000Z,bronze/lines/season=2026/asof=2026-03-11/part-0ba225cd.parquet,2026-03-11,Bovada,-1.0,140.0,-115.0,-105.0,-1.0,140.0,2026-02-21T00:00:00.000Z,Iona,Saint Peter's,123,254,,keep,none,,0.0,0,0,0,0,-1.0,-1.0,-1.0,-1.0
MAAC,64.0,Saint Peter's,254,215009,MAAC,72.0,Iona,123,2026,regular,2026-02-21T00:00:00.000Z,bronze/lines/season=2026/asof=2026-03-11/part-0ba225cd.parquet,2026-03-11,Draft Kings,-1.5,140.5,-115.0,-105.0,-1.5,140.5,2026-02-21T00:00:00.000Z,Iona,Saint Peter's,123,254,,keep,none,,0.0,0,0,0,0,-1.5,-1.5,-1.5,-1.5
MAAC,68.0,Sacred Heart,250,215010,MAAC,78.0,Fairfield,83,2026,regular,2026-02-21T00:00:00.000Z,bronze/lines/season=2026/asof=2026-03-11/part-0ba225cd.parquet,2026-03-11,Bovada,-5.0,158.5,-200.0,170.0,-4.5,156.0,2026-02-21T00:00:00.000Z,Fairfield,Sacred Heart,83,250,-1.0,keep,none,,-2.0,1,0,1,0,-5.0,-5.0,-4.5,-4.5
MAAC,68.0,Sacred Heart,250,215010,MAAC,78.0,Fairfield,83,2026,regular,2026-02-21T00:00:00.000Z,bronze/lines/season=2026/asof=2026-03-11/part-0ba225cd.parquet,2026-03-11,Draft Kings,-4.5,158.5,,,-4.5,155.5,2026-02-21T00:00:00.000Z,Fairfield,Sacred Heart,83,250,-1.0,keep,none,,-2.0,1,0,1,0,-4.5,-4.5,-4.5,-4.5
