half_life,margin_cap,alpha,avg_oe,std_oe,avg_de,std_de,hca,time
,,0.001,109.86726813186813,9.01503602608435,109.86726565934067,8.171003247775243,2.5691,11.473720788955688
,,0.01,109.86726538461538,9.014222077099738,109.86726565934066,8.170222335332275,2.5693,11.07538104057312
,,0.05,109.8672664835165,9.01061761773483,109.86726538461537,8.166734322387523,2.5704,11.280911684036255
,,0.1,109.86726593406594,9.006115945732784,109.86726565934066,8.162382074737529,2.5717,11.326697826385498
,25.0,0.001,109.85876456043957,7.692759859394113,109.85876703296702,8.286306465014032,2.1796,11.733036041259766
,25.0,0.01,109.8587642857143,7.692192848266307,109.85876456043955,8.285801904172393,2.1797,11.70362901687622
,25.0,0.05,109.85876840659341,7.689675879087352,109.8587675824176,8.283559928462086,2.1805,11.572220087051392
,25.0,0.1,109.8587706043956,7.686530310967362,109.85876703296704,8.280764478353586,2.1814,11.571811199188232
,35.0,0.001,109.85945824175823,8.08619066842882,109.85945741758242,8.02145235434864,2.3124,11.590296983718872
,35.0,0.01,109.85945796703295,8.085539880287616,109.85945796703295,8.020861807544216,2.3126,11.722687005996704
,35.0,0.05,109.85945824175823,8.08264628902305,109.85945824175823,8.018251387818383,2.3134,11.523008823394775
,35.0,0.1,109.8594554945055,8.079031930258415,109.85945824175823,8.014989245623012,2.3145,11.507524967193604
,50.0,0.001,109.86049340659342,8.384245615255203,109.86049532967033,7.754899729660312,2.3806,11.313004970550537
,50.0,0.01,109.86049395604397,8.383534243916257,109.86049368131869,7.754229662974803,2.3808,11.648031949996948
,50.0,0.05,109.86049395604395,8.380352405696005,109.86049423076922,7.751263051084101,2.3818,11.681310176849365
,50.0,0.1,109.86049478021978,8.37637681816817,109.86049148351648,7.74755767753501,2.383,11.496017932891846
30.0,,0.001,110.16145137362636,9.372158205478101,110.16144890109891,8.575898444484345,2.6831,11.476948022842407
30.0,,0.01,110.16145192307692,9.363350981668859,110.1614510989011,8.567448894904667,2.684,11.308149099349976
30.0,,0.05,110.16145357142857,9.324616185618885,110.1614532967033,8.530314617372944,2.688,11.487075805664062
30.0,,0.1,110.1614510989011,9.277166162806013,110.16145082417583,8.48483582124105,2.6928,11.478224754333496
30.0,25.0,0.001,110.13297032967033,8.101171531960468,110.13296978021978,8.72069314501419,2.2508,11.646958112716675
30.0,25.0,0.01,110.13296813186813,8.09486875803311,110.13297115384616,8.715613858001207,2.2514,11.778991937637329
30.0,25.0,0.05,110.1329706043956,8.06715739737251,110.13297252747253,8.693290878451606,2.2543,11.53529691696167
30.0,25.0,0.1,110.13297087912089,8.033218983409022,110.13297197802197,8.665957340280716,2.2579,11.638859987258911
30.0,35.0,0.001,110.13528598901098,8.512154158817088,110.13528708791209,8.447310427287302,2.3949,11.572897911071777
30.0,35.0,0.01,110.13528873626373,8.504801794038372,110.13528791208792,8.441009039826458,2.3956,11.732784986495972
30.0,35.0,0.05,110.13528516483518,8.472482337238633,110.13528626373626,8.41333363339783,2.3989,11.865694999694824
30.0,35.0,0.1,110.13528708791209,8.43290327776216,110.13528791208792,8.37946863288122,2.403,11.49018907546997
30.0,50.0,0.001,110.13876071428571,8.853155497887444,110.1387565934066,8.207426525296357,2.4712,11.519376993179321
