season,gameId,game_date,startDate,slice,homeTeam,awayTeam,book_spread,predicted_spread,model_pick_side,pick_cover_prob,pick_prob_edge,raw_logit_score,filter_score,score_lift_vs_raw_logit,flagged_mainly_by_disagreement,persistence_label,he_market_edge_for_pick,abs_he_vs_market_edge,pick_team_recent_same_sign_count_21d,pick_team_prior_same_sign_streak,neutral_site_flag,signal_driver,usage_label
2026,358956,2026-02-22,2026-02-22 21:00:00+00:00,feb15_plus,Tulsa,UTSA,-21.75,15.048,AWAY,0.716,0.193,0.531,0.086,-0.445,False,persistent,-29.287,29.287,5,24,False,raw edge only / filtered out,raw-edge watchlist only
2026,211839,2026-02-22,2026-02-22 19:00:00+00:00,feb15_plus,Cleveland State,Purdue Fort Wayne,3.5,0.497,HOME,0.668,0.145,0.512,0.413,-0.099,False,persistent,-4.454,4.454,6,20,False,raw edge only / filtered out,raw-edge watchlist only
2026,211774,2026-02-22,2026-02-22 19:00:00+00:00,feb15_plus,Drexel,Towson,2.5,2.607,HOME,0.666,0.143,0.519,0.506,-0.013,False,new/transient,2.881,2.881,0,0,False,raw edge only / filtered out,raw-edge watchlist only
