season,gameId,game_date,startDate,slice,homeTeam,awayTeam,book_spread,predicted_spread,model_pick_side,pick_cover_prob,pick_prob_edge,raw_logit_score,filter_score,score_lift_vs_raw_logit,flagged_mainly_by_disagreement,persistence_label,he_market_edge_for_pick,abs_he_vs_market_edge,pick_team_recent_same_sign_count_21d,pick_team_prior_same_sign_streak,neutral_site_flag,signal_driver,usage_label
2026,372331,2026-03-10,2026-03-10 23:30:00+00:00,conference_tournaments,Northwestern,Penn State,-4.75,4.828,HOME,0.502,-0.022,0.497,0.688,0.191,True,persistent,12.446,12.446,5,29,True,disagreement-led persistent,decision-useful internal candidate
2026,372289,2026-03-10,2026-03-10 23:00:00+00:00,conference_tournaments,Vermont,NJIT,-10.75,11.17,HOME,0.514,-0.01,0.507,0.677,0.169,True,persistent,12.997,12.997,5,5,False,disagreement-led persistent,decision-useful internal candidate
2026,372285,2026-03-10,2026-03-10 22:00:00+00:00,conference_tournaments,UMBC,UMass Lowell,-7.5,7.967,HOME,0.517,-0.007,0.51,0.663,0.154,True,persistent,11.811,11.811,2,2,False,disagreement-led persistent,decision-useful internal candidate
2026,372341,2026-03-10,2026-03-10 23:00:00+00:00,conference_tournaments,Wright State,Detroit Mercy,-5.0,5.162,HOME,0.505,-0.019,0.499,0.641,0.142,True,persistent,8.817,8.817,6,30,True,disagreement-led persistent,decision-useful internal candidate
2026,372332,2026-03-10,2026-03-11 01:00:00+00:00,conference_tournaments,Merrimack,Siena,-1.5,-2.025,AWAY,0.614,0.09,0.52,0.598,0.078,False,persistent,3.985,3.985,6,23,True,raw edge + persistent disagreement support,decision-useful internal candidate
