season,gameId,game_date,startDate,slice,homeTeam,awayTeam,book_spread,predicted_spread,model_pick_side,pick_cover_prob,pick_prob_edge,raw_logit_score,filter_score,score_lift_vs_raw_logit,flagged_mainly_by_disagreement,persistence_label,he_market_edge_for_pick,abs_he_vs_market_edge,pick_team_recent_same_sign_count_21d,pick_team_prior_same_sign_streak,neutral_site_flag,signal_driver,usage_label
2026,211764,2026-02-20,2026-02-20 23:30:00+00:00,feb15_plus,Ball State,Akron,13.5,-9.382,HOME,0.652,0.129,0.512,0.118,-0.395,False,persistent,-25.394,25.394,6,22,False,raw edge only / filtered out,raw-edge watchlist only
2026,215008,2026-02-20,2026-02-21 01:00:00+00:00,feb15_plus,Purdue,Indiana,-12.0,8.649,AWAY,0.649,0.126,0.508,0.382,-0.125,False,persistent,-7.143,7.143,5,25,False,raw edge only / filtered out,raw-edge watchlist only
2026,211750,2026-02-20,2026-02-21 00:00:00+00:00,feb15_plus,Rider,Canisius,-1.25,-1.379,AWAY,0.627,0.103,0.503,0.562,0.059,False,persistent,4.961,4.961,6,25,False,raw edge only / filtered out,raw-edge watchlist only
