source,games,mae,market_favorite_bias
promoted_lgb_l2_blend,335,10.015628690795221,-2.381116131479602
gold_lgb,335,9.992529462633739,-2.596473626179121
gold_hgbr,335,10.082504266000061,-2.628058384104473
torvik_lgb,335,9.760796023749593,-1.8433930378679821
torvik_hgbr,335,9.738714913645786,-1.6630570961207878
