candidate,season,games,margin_mae,margin_rmse,line_mae_vs_market,straight_up_accuracy,flat_ats_win_rate
A_current_unchanged,2019,67,9.363407910314958,12.05403965518726,3.013854387535978,0.7014925373134329,0.6417910447761194
A_current_unchanged,2022,67,10.175586538083518,12.585927400678761,2.1154624682206373,0.6865671641791045,0.4626865671641791
A_current_unchanged,2023,67,9.8694002404809,12.11851800588749,2.487262865389461,0.6865671641791045,0.4626865671641791
A_current_unchanged,2024,67,11.014517783006625,13.41963716522832,2.535252835241056,0.6716417910447762,0.373134328358209
A_current_unchanged,2025,67,9.65523098209011,11.971514632809914,3.583351308730111,0.7761194029850746,0.373134328358209
B_affine_tournament_calibration,2019,67,9.363407910314958,12.05403965518726,3.013854387535978,0.7014925373134329,0.6417910447761194
B_affine_tournament_calibration,2022,67,10.212755553389634,12.65118044379274,1.8657950957344989,0.6716417910447762,0.373134328358209
B_affine_tournament_calibration,2023,67,10.012883587297946,12.32507175178558,2.526779804165517,0.6716417910447762,0.44776119402985076
B_affine_tournament_calibration,2024,67,10.733054649652866,13.198603127874843,2.1250043151832942,0.6716417910447762,0.373134328358209
B_affine_tournament_calibration,2025,67,9.296297974804498,11.409075870075318,2.7051281939708205,0.7611940298507462,0.3880597014925373
C_separate_ncaa_model,2019,67,9.363602379364753,12.051709276072662,3.6300817318816683,0.7910447761194029,0.5522388059701493
C_separate_ncaa_model,2022,67,9.83929335025709,12.212741798233102,2.523648328276781,0.5970149253731343,0.5223880597014925
C_separate_ncaa_model,2023,67,9.926356325176224,12.325812829969909,2.391948506680887,0.6567164179104478,0.4626865671641791
C_separate_ncaa_model,2024,67,11.09987471174838,13.390975501915305,2.8215149669877944,0.7014925373134329,0.3283582089552239
C_separate_ncaa_model,2025,67,8.74981438046071,10.949106596073491,2.597276627127804,0.7910447761194029,0.5074626865671642
D_postseason_model,2019,67,9.190871612349554,11.795056352270132,2.995329415620263,0.7611940298507462,0.5970149253731343
D_postseason_model,2022,67,10.262432168223965,12.412110911044131,3.0143161750756775,0.6119402985074627,0.43283582089552236
D_postseason_model,2023,67,10.032203203261789,12.293611073369144,2.556489330174318,0.6567164179104478,0.40298507462686567
D_postseason_model,2024,67,11.274210736822726,13.525615365217275,2.6416823921665067,0.6716417910447762,0.34328358208955223
D_postseason_model,2025,67,9.013984375925206,11.008391316374551,2.3968084303300774,0.7313432835820896,0.47761194029850745
E_neutral_postseason_model,2019,67,9.386617331140076,12.066178561099834,3.4834360077754773,0.7611940298507462,0.6119402985074627
E_neutral_postseason_model,2022,67,10.37252186616855,12.555279041522363,3.4908429636405063,0.6119402985074627,0.47761194029850745
E_neutral_postseason_model,2023,67,10.061366564302302,12.303148069374288,2.974411385272866,0.6567164179104478,0.44776119402985076
E_neutral_postseason_model,2024,67,11.505659882702044,13.742716666212377,3.0665958302636303,0.6865671641791045,0.3283582089552239
E_neutral_postseason_model,2025,67,9.38385673156425,11.644925363293014,3.243619466005866,0.7611940298507462,0.44776119402985076
F_context_layer,2019,67,9.363407910314958,12.05403965518726,3.013854387535978,0.7014925373134329,0.6417910447761194
F_context_layer,2022,67,9.828896846121816,12.222302917519844,1.9473346891311498,0.6417910447761194,0.44776119402985076
F_context_layer,2023,67,9.878346022830081,12.305763065016249,2.1431015867795518,0.6567164179104478,0.47761194029850745
F_context_layer,2024,67,11.324929409507495,13.747173511211376,3.064879497693431,0.7164179104477612,0.3582089552238806
F_context_layer,2025,67,9.12837136058665,11.512233498248541,3.524092897550384,0.7761194029850746,0.47761194029850745
G_market_blend_tournament_only,2019,67,9.363407910314958,12.05403965518726,3.013854387535978,0.7014925373134329,0.6417910447761194
G_market_blend_tournament_only,2022,67,9.834802315235136,12.261614283990188,0.9519581106992866,0.6567164179104478,0.4626865671641791
G_market_blend_tournament_only,2023,67,9.585408523974857,11.85733108663802,0.5907249305299971,0.6865671641791045,0.4626865671641791
G_market_blend_tournament_only,2024,67,10.08064149411455,12.494141600251885,0.5070505670482109,0.6865671641791045,0.373134328358209
G_market_blend_tournament_only,2025,67,8.440298507462687,10.422958298942413,0.0,0.7910447761194029,
H_reweighted_all_games_model,2019,67,9.680846913092171,12.258616030952028,3.273287932819395,0.746268656716418,0.5671641791044776
H_reweighted_all_games_model,2022,67,10.182142679148646,12.359183570675967,3.1726579232857777,0.6865671641791045,0.4925373134328358
H_reweighted_all_games_model,2023,67,9.97666492124102,12.125029389018643,2.687037573821509,0.6716417910447762,0.47761194029850745
H_reweighted_all_games_model,2024,67,11.15281839513067,13.47794343536238,2.6699745443559464,0.6865671641791045,0.34328358208955223
H_reweighted_all_games_model,2025,67,9.34246787473337,11.542288188555434,2.9814988757247356,0.7164179104477612,0.3880597014925373
