market_bucket,lined_games,market_fav_margin,model_on_market_fav,actual_on_market_fav,model_vs_market_fav_bias,actual_minus_model_fav,model_mae,market_mae
<5,148,3.027027027027027,1.4982432815170772,3.0,-1.52878374550995,1.5017567184829228,10.09133710556135,9.878378378378379
5-10,104,7.0673076923076925,5.264621191873,6.894230769230769,-1.8026865004346921,1.629609577357769,9.402534516384968,9.048076923076923
15+,39,21.525641025641026,15.729312077546732,21.512820512820515,-5.7963289480942946,5.783508435273782,10.20188946601672,8.217948717948717
10-15,37,12.54054054054054,8.72405751975807,15.837837837837839,-3.8164830207824707,7.113780318079768,11.06551421655191,9.432432432432432
