ncaa_round,lined_games,market_fav_margin,model_on_market_fav,actual_on_market_fav,model_vs_market_fav_bias,model_vs_market_abs_diff,model_mae,market_mae
First Four,19,2.9473684210526314,1.7914944165631344,6.0,-1.155874004489497,2.1792016060728776,9.079052056136884,8.736842105263158
Round of 64,156,9.887820512820513,6.784294826145738,9.384615384615385,-3.103525686674775,3.3333641099146543,10.592451589946181,9.669871794871796
Round of 32,79,6.424050632911392,4.749237242001522,8.215189873417721,-1.674813390909871,2.2038785984999016,10.138951794633382,9.60126582278481
Sweet 16,39,5.564102564102564,3.8312719559822326,3.41025641025641,-1.7328306081203313,2.173275860074239,9.054939932166002,9.205128205128204
Elite 8,20,4.5,2.5782077252864837,6.7,-1.9217922747135163,2.0526008665561677,9.842430156469344,9.45
Final Four,10,5.2,3.196889102458954,4.7,-2.0031108975410463,2.5487441182136537,6.27494353055954,6.5
Championship,5,4.3,0.992625629901886,9.0,-3.307374370098114,3.307374370098114,8.007374370098114,5.3
