regime,lined_games,model_mae,market_mae,model_rmse,market_rmse,model_vs_market_mae_gap,model_vs_market_fav_bias,favorite_slope_vs_market,model_to_market_abs_ratio
regular_season,28097,9.020869788355503,8.763426700359469,11.471605911590409,11.155973404682003,0.2574430879960339,-0.6895842212376508,0.9403117855737654,0.9161749083273949
conference_tournament,1633,8.795041893272954,8.622473974280465,11.114751516058993,10.94323017162208,0.17256791899248825,-1.078564111825446,0.9090665370553873,0.8187315191055468
neutral_nonconf,571,9.43455373430858,9.472854640980735,11.847594913197643,12.186165392371288,-0.03830090667215558,-2.102578000971645,0.7277593993612409,0.6597982322032278
ncaa_tournament,328,9.995973160104235,9.367378048780488,12.417447201641155,11.668862307910553,0.6285951113237473,-2.381116131479602,0.7572995285677084,0.6859014312787817
