holdout_season,prior_ncaa_rows,affine_slope,affine_intercept,market_blend_alpha
2019,0,1.0,0.0,1.0
2022,67,1.3675153487460598,-0.6611354396183406,0.45
2023,132,1.2384427876409532,-0.2554181661130901,0.23750000000000002
2024,199,1.0571311257331577,0.6067148943373706,0.2
2025,261,1.1714031188555671,0.46516566640092183,0.0
