option,cover_logloss,cover_brier,pick_prob_mean,pick_prob_std,pick_prob_edge_mean,prob80_winrate,prob80_roi,prob85_winrate,prob85_roi,edge10_roi,edge15_roi,top100_roi,top200_roi,top500_roi,top100_winrate,top200_winrate,top500_winrate,top100_avg_prob,top200_avg_prob,top500_avg_prob,top100_overlap_vs_raw,top200_overlap_vs_raw,top500_overlap_vs_raw,top100_overlap_vs_best,top200_overlap_vs_best,top500_overlap_vs_best,top100_churn_vs_raw,top200_churn_vs_raw,top500_churn_vs_raw,top100_churn_vs_best,top200_churn_vs_best,top500_churn_vs_best
best_posthoc_normal,0.7058364280985774,0.25556142441245866,0.5708337238121663,0.0656594078559087,0.047024200002642444,0.6243481388743009,0.18629617280751296,0.6457884836884017,0.23056919657710173,0.04722370945199135,0.06949992256584428,0.1878181818181818,0.10663636363636361,0.058399999999999994,0.6240833333333334,0.5805735085684834,0.5549205840251933,0.8483658583087823,0.7968306663530713,0.7265928376374976,83.6,170.0,430.0,100.0,200.0,500.0,32.8,60.0,140.0,0.0,0.0,0.0
constant14_normal,0.7058916871643099,0.25553912412448876,0.570542698134323,0.0662377475718738,0.0467331743247991,0.6100533080488832,0.1614723992821338,0.6559999999999999,0.2452287422722205,0.03527201603315716,0.0771936180400265,0.1745454545454545,0.10381818181818181,0.06029090909090908,0.6173737373737374,0.5791824546196406,0.555902396588347,0.8524781902754291,0.8005548141050163,0.728787079819588,77.0,160.8,407.2,93.4,190.0,476.8,46.0,78.4,185.6,13.2,20.0,46.4
isotonic_best_posthoc_z,0.6940596503425499,0.24966235835222444,0.5170585069724076,0.033105624292119114,-0.006751016837116224,0.7379078844652615,0.4087332339791356,0.8046428571428571,0.5361363636363635,0.03479291485736269,0.20062695924764892,0.1478181818181818,0.10290909090909092,0.04167272727272727,0.6032631578947367,0.5787984043607338,0.5462517666617799,0.6904019898123431,0.6386457758871468,0.5892396897763285,67.4,136.2,368.0,74.0,146.2,385.8,65.2,127.6,264.0,52.0,107.6,228.4
logistic_best_posthoc_z,0.6923778923210329,0.2496296067728494,0.519535612688004,0.02027380403177643,-0.004273911121519924,1.0,0.9090909090909091,1.0,0.9090909090909091,0.332670386848049,0.5219696969696969,0.1916363636363636,0.1009090909090909,0.05305454545454545,0.6260833333333334,0.577558433191599,0.5520928878164493,0.6137367950398669,0.5917892782959355,0.566524161862952,83.4,170.2,426.8,98.6,194.4,481.8,33.2,59.6,146.4,2.8,11.2,36.4
raw_mlp_normal,0.7092631817289093,0.25693757892527,0.5763344110341979,0.06830217024175982,0.052524887224674056,0.607307106490395,0.15476111938376091,0.6589017849894179,0.25790340770707043,0.035868231069764736,0.08957338682646901,0.1514545454545454,0.09236363636363636,0.056145454545454554,0.6043298969072165,0.5729316880141623,0.5537703063537581,0.8536369351929307,0.8029926592410488,0.7358759244904627,100.0,200.0,500.0,83.6,170.0,430.0,0.0,0.0,0.0,32.8,60.0,140.0
isotonic_raw_z,0.6928645781137995,0.24981621217471633,0.5177375728446734,0.029946413815004534,-0.006071950964850465,0.8178571428571428,0.5613636363636363,0.6017857142857144,0.14886363636363634,0.15178314640604476,0.24562695924764882,0.12654545454545452,0.08963636363636363,0.03858181818181818,0.5907755102040816,0.5717689988894177,0.5445369293287142,0.6704517033070828,0.6258862879003594,0.5812813459879195,74.4,141.4,393.2,68.6,136.6,372.6,51.2,117.2,213.6,62.8,126.8,254.8
logistic_raw_z,0.6925123400555606,0.249693068644763,0.5187602972880703,0.018721525991839273,-0.005049226521453594,1.0,0.9090909090909091,1.0,0.9090909090909091,0.432139577594123,0.6221033868092691,0.13999999999999996,0.08854545454545455,0.05614545454545454,0.5983298969072164,0.5709215870040613,0.5537719791540257,0.603214165287759,0.5839544479621182,0.5619985107163663,97.6,196.2,480.2,84.2,169.4,428.6,4.8,7.6,39.6,31.6,61.2,142.8
