season,option,bucket_kind,bucket,n,avg_pick_prob,win_rate,roi
2020,raw_mlp_normal,probability,"[0.5, 0.55)",3520,0.5224481459287363,0.4921829762594094,-0.059245867768595036
2020,raw_mlp_normal,probability,"[0.55, 0.6)",1306,0.5699498402345181,0.5085669781931464,-0.0286092162049283
2020,raw_mlp_normal,probability,"[0.6, 0.65)",286,0.6199353986721737,0.5642857142857143,0.07565162110616656
2020,raw_mlp_normal,probability,"[0.65, 0.7)",101,0.6679119351056799,0.47474747474747475,-0.0918091809180918
2020,raw_mlp_normal,probability,"[0.7, 0.75)",41,0.7257990705679734,0.5384615384615384,0.026607538802660764
2020,raw_mlp_normal,probability,"[0.75, 0.8)",20,0.7690571856780997,0.65,0.24090909090909088
2020,raw_mlp_normal,probability,"[0.8, 0.85)",23,0.8210381190522519,0.8571428571428571,0.5810276679841895
2020,raw_mlp_normal,probability,"[0.85, 1.01)",29,0.9132387062107354,0.8275862068965517,0.5799373040752349
2020,raw_mlp_normal,edge,"[0.0, 0.02)",1287,0.5329884449401737,0.48415213946117275,-0.07423889242071059
2020,raw_mlp_normal,edge,"[0.02, 0.04)",809,0.5529045294379551,0.5226130653266332,-0.0022474435329812295
2020,raw_mlp_normal,edge,"[0.04, 0.06)",560,0.5728638810168079,0.5027322404371585,-0.03944805194805195
2020,raw_mlp_normal,edge,"[0.06, 0.08)",282,0.5930738936546788,0.5035971223021583,-0.038039974210186976
2020,raw_mlp_normal,edge,"[0.08, 0.1)",139,0.6129918681644858,0.5808823529411765,0.1066056245912361
2020,raw_mlp_normal,edge,"[0.1, 0.15)",173,0.6456628038843814,0.5207100591715976,-0.005780346820809248
2020,raw_mlp_normal,edge,"[0.15, 1.0)",146,0.7745546121384864,0.6524822695035462,0.23723536737235365
2020,best_posthoc_normal,probability,"[0.5, 0.55)",2840,0.5238626679399421,0.4888809182209469,-0.06546094750320103
2020,best_posthoc_normal,probability,"[0.55, 0.6)",1530,0.5714466874782826,0.5079681274900398,-0.029768270944741514
2020,best_posthoc_normal,probability,"[0.6, 0.65)",571,0.6208671837091052,0.5107913669064749,-0.024199968157936635
2020,best_posthoc_normal,probability,"[0.65, 0.7)",189,0.6707213765579336,0.5135135135135135,-0.01924001924001924
2020,best_posthoc_normal,probability,"[0.7, 0.75)",79,0.7240846061366277,0.5822784810126582,0.11162255466052932
2020,best_posthoc_normal,probability,"[0.75, 0.8)",40,0.774620482693585,0.5641025641025641,0.07499999999999998
2020,best_posthoc_normal,probability,"[0.8, 0.85)",23,0.8172665295512007,0.7,0.2924901185770751
2020,best_posthoc_normal,probability,"[0.85, 1.01)",54,0.9221813031587851,0.8490566037735849,0.6094276094276094
2020,best_posthoc_normal,edge,"[0.0, 0.02)",1064,0.5338646805857697,0.491395793499044,-0.06083390293916609
2020,best_posthoc_normal,edge,"[0.02, 0.04)",859,0.5530722097833902,0.4929078014184397,-0.05810138639009418
2020,best_posthoc_normal,edge,"[0.04, 0.06)",607,0.5729408330580127,0.49915397631133673,-0.045828965104088654
2020,best_posthoc_normal,edge,"[0.06, 0.08)",437,0.5930750134731041,0.4988399071925754,-0.04701477012689827
2020,best_posthoc_normal,edge,"[0.08, 0.1)",278,0.6128310047363169,0.47794117647058826,-0.08567691301504252
2020,best_posthoc_normal,edge,"[0.1, 0.15)",340,0.6447929732185701,0.5555555555555556,0.05935828877005347
2020,best_posthoc_normal,edge,"[0.15, 1.0)",269,0.7692547608559721,0.6183206106870229,0.1757350456235215
2020,constant14_normal,probability,"[0.5, 0.55)",2524,0.5239955046749564,0.494758064516129,-0.05449502953464917
2020,constant14_normal,probability,"[0.55, 0.6)",1581,0.5716987164549084,0.49032258064516127,-0.06267609683169453
2020,constant14_normal,probability,"[0.6, 0.65)",673,0.6216121703255757,0.5037821482602118,-0.037552343644468446
2020,constant14_normal,probability,"[0.65, 0.7)",281,0.6732714849740677,0.5563636363636364,0.06082174053704301
2020,constant14_normal,probability,"[0.7, 0.75)",104,0.7226227845577243,0.5294117647058824,0.01048951048951048
2020,constant14_normal,probability,"[0.75, 0.8)",59,0.7745043619562342,0.5689655172413793,0.08474576271186442
2020,constant14_normal,probability,"[0.8, 0.85)",35,0.818378357834194,0.5428571428571428,0.036363636363636355
2020,constant14_normal,probability,"[0.85, 1.01)",69,0.9262999049824001,0.8461538461538461,0.579710144927536
2020,constant14_normal,edge,"[0.0, 0.02)",929,0.5334604898246577,0.5043572984749455,-0.03669634993639299
2020,constant14_normal,edge,"[0.02, 0.04)",877,0.5532585353989926,0.47435897435897434,-0.09236031927023945
2020,constant14_normal,edge,"[0.04, 0.06)",614,0.57310892814209,0.5165562913907285,-0.013621557595498966
2020,constant14_normal,edge,"[0.06, 0.08)",465,0.5932232038029421,0.48464912280701755,-0.07331378299120235
2020,constant14_normal,edge,"[0.08, 0.1)",317,0.6131570745234972,0.4887459807073955,-0.06567249784915401
2020,constant14_normal,edge,"[0.1, 0.15)",429,0.6449410072667607,0.5274463007159904,0.0067810976901886
2020,constant14_normal,edge,"[0.15, 1.0)",401,0.761457718267021,0.5943877551020408,0.13171616413511675
2020,logistic_raw_z,probability,"[0.5, 0.55)",5246,0.5084749672604245,0.5003885003885004,-0.04387758638616434
2020,logistic_raw_z,probability,"[0.55, 0.6)",63,0.5678473686776129,0.7213114754098361,0.36507936507936517
2020,logistic_raw_z,probability,"[0.6, 0.65)",14,0.6221388203123811,0.9285714285714286,0.7727272727272725
2020,logistic_raw_z,probability,"[0.65, 0.7)",1,0.6559850902226572,1.0,0.9090909090909091
2020,logistic_raw_z,edge,"[0.0, 0.02)",232,0.530412664312267,0.5132743362831859,-0.019592476489028204
2020,logistic_raw_z,edge,"[0.02, 0.04)",46,0.5516656635630024,0.5777777777777777,0.1007905138339921
2020,logistic_raw_z,edge,"[0.04, 0.06)",29,0.5723118061654626,0.8148148148148148,0.5172413793103446
2020,logistic_raw_z,edge,"[0.06, 0.08)",8,0.5934661568080404,0.75,0.43181818181818177
2020,logistic_raw_z,edge,"[0.08, 0.1)",9,0.6136522206172282,1.0,0.9090909090909091
