n_games,n_lined,MAE_all,RMSE_all,MedAE_all,WinAcc_all,MAE_lined,BookMAE_lined,DeltaVsBook_MAE,GaussianNLL,MeanAbsZ,Coverage_1sigma,Coverage_2sigma,model,slice
3591,2981,10.275947852290047,13.390343777341227,8.109638214111328,0.7905875800612643,9.376539497015559,9.047970479704796,0.3285690173107625,,,,,HistGradientBoosting,dec15_plus
3591,2981,10.275947852290047,13.390343777341227,8.109638214111328,0.7905875800612643,9.376539497015559,9.047970479704796,0.3285690173107625,,,,,HistGradientBoostingSwapSafeV2,dec15_plus
3591,2981,10.518350535510812,13.656781856495869,8.222939014434814,0.7889167362851573,9.546708659294687,9.047970479704796,0.49873817958989086,,,,,HistGradientBoostingSwapSafeV2Augmented,dec15_plus
36557,32829,9.598416634146458,12.386510011286695,7.805086135864258,0.7403506852312827,9.097075205063197,8.80095342532517,0.29612177973802645,,,,,HistGradientBoosting,full
36557,32829,9.598416634146458,12.386510011286695,7.805086135864258,0.7403506852312827,9.097075205063197,8.80095342532517,0.29612177973802645,,,,,HistGradientBoostingSwapSafeV2,full
36557,32829,9.856405575293456,12.768530641653076,7.9488584995269775,0.7315425226358837,9.272882666229831,8.80095342532517,0.47192924090466093,,,,,HistGradientBoostingSwapSafeV2Augmented,full
32966,29848,9.524612878630059,12.272203639074776,7.763718962669373,0.7348783595219317,9.069164354945602,8.77628316805146,0.29288118689414233,,,,,HistGradientBoosting,pre_dec15
32966,29848,9.524612878630059,12.272203639074776,7.763718962669373,0.7348783595219317,9.069164354945602,8.77628316805146,0.29288118689414233,,,,,HistGradientBoostingSwapSafeV2,pre_dec15
32966,29848,9.784299637292468,12.6680119069656,7.927329063415527,0.7252927258387429,9.245534928179499,8.77628316805146,0.4692517601280386,,,,,HistGradientBoostingSwapSafeV2Augmented,pre_dec15
