n_games,n_lined,MAE_all,RMSE_all,MedAE_all,WinAcc_all,MAE_lined,BookMAE_lined,DeltaVsBook_MAE,GaussianNLL,MeanAbsZ,Coverage_1sigma,Coverage_2sigma,model,holdout_season
6049,5543,9.497464149127913,12.255640594879866,7.794188976287842,0.7442552488014548,9.032334887669334,8.789283781345842,0.2430511063234917,,,,,HistGradientBoosting,2019
6049,5543,9.497464149127913,12.255640594879866,7.794188976287842,0.7442552488014548,9.032334887669334,8.789283781345842,0.2430511063234917,,,,,HistGradientBoostingSwapSafeV2,2019
6049,5543,9.839056340938921,12.805305634344847,7.949276924133301,0.7315258720449661,9.266473647771075,8.789283781345842,0.477189866425233,,,,,HistGradientBoostingSwapSafeV2Augmented,2019
5768,5324,9.623308651679642,12.532369494047266,7.668804407119751,0.7425450762829403,9.085441916960736,8.800995492111195,0.2844464248495413,,,,,HistGradientBoosting,2020
5768,5324,9.623308651679642,12.532369494047266,7.668804407119751,0.7425450762829403,9.085441916960736,8.800995492111195,0.2844464248495413,,,,,HistGradientBoostingSwapSafeV2,2020
5768,5324,9.85515990961462,12.911374017034035,7.746809005737305,0.7369972260748959,9.267408478550676,8.800995492111195,0.46641298643948126,,,,,HistGradientBoostingSwapSafeV2Augmented,2020
5977,5443,9.488657862752618,12.298039066523504,7.596962928771973,0.7460264346662205,8.912976491350337,8.682803600955355,0.23017289039498223,,,,,HistGradientBoosting,2022
5977,5443,9.488657862752618,12.298039066523504,7.596962928771973,0.7460264346662205,8.912976491350337,8.682803600955355,0.23017289039498223,,,,,HistGradientBoostingSwapSafeV2,2022
5977,5443,9.731919637507803,12.67502856184047,7.816707611083984,0.7359879538229881,9.029416307415909,8.682803600955355,0.3466127064605544,,,,,HistGradientBoostingSwapSafeV2Augmented,2022
6228,5773,9.628821419818221,12.355117014132087,7.922004222869873,0.7336223506743738,9.159826656194088,8.896500952710895,0.2633257034831935,,,,,HistGradientBoosting,2023
6228,5773,9.628821419818221,12.355117014132087,7.922004222869873,0.7336223506743738,9.159826656194088,8.896500952710895,0.2633257034831935,,,,,HistGradientBoostingSwapSafeV2,2023
6228,5773,9.885679297263858,12.778526409508611,8.09252381324768,0.7214193962748876,9.355848487934232,8.896500952710895,0.45934753522333693,,,,,HistGradientBoostingSwapSafeV2Augmented,2023
6243,5309,9.707786901963868,12.438973898298237,8.010606288909912,0.7336216562550056,9.265235886721474,8.872951591636843,0.3922842950846306,,,,,HistGradientBoosting,2024
6243,5309,9.707786901963868,12.438973898298237,8.010606288909912,0.7336216562550056,9.265235886721474,8.872951591636843,0.3922842950846306,,,,,HistGradientBoostingSwapSafeV2,2024
6243,5309,9.946116479612739,12.707556425444583,8.146591186523438,0.7246516098029794,9.430498710813886,8.872951591636843,0.5575471191770429,,,,,HistGradientBoostingSwapSafeV2Augmented,2024
6292,5437,9.638301092858946,12.439657372296493,7.904244348406792,0.7425301970756516,9.127939894709764,8.759334191649806,0.36860570305995743,,,,,HistGradientBoosting,2025
6292,5437,9.638301092858946,12.439657372296493,7.904244348406792,0.7425301970756516,9.127939894709764,8.759334191649806,0.36860570305995743,,,,,HistGradientBoostingSwapSafeV2,2025
6292,5437,9.874492201532167,12.740366920608503,7.94537709094584,0.739192625556262,9.286513691822735,8.759334191649806,0.5271795001729291,,,,,HistGradientBoostingSwapSafeV2Augmented,2025
