n_games,mean_slot_bias,mean_abs_slot_bias,p95_abs_slot_bias,home_slot_adv_share,model,strength_bucket
2455,3.091395290282127,3.551618087323275,8.17589630335569,0.8578411405295315,HistGradientBoosting,0-5
2455,3.091395290282127,3.551618087323275,8.17589630335569,0.8578411405295315,HistGradientBoostingSwapSafeV2,0-5
2086,-0.0218435913413865,1.017219746730841,2.6076844185590744,0.49760306807286675,HistGradientBoostingSwapSafeV2Augmented,0-5
375,3.8462118117809294,4.092810739596684,13.451384210586555,0.896,HistGradientBoosting,10-15
375,3.8462118117809294,4.092810739596684,13.451384210586555,0.896,HistGradientBoostingSwapSafeV2,10-15
477,0.19244482732169033,1.0944399803689442,2.8054265975952144,0.5660377358490566,HistGradientBoostingSwapSafeV2Augmented,10-15
106,6.67592448066428,6.706153959176451,13.28610634803772,0.9811320754716981,HistGradientBoosting,15+
106,6.67592448066428,6.706153959176451,13.28610634803772,0.9811320754716981,HistGradientBoostingSwapSafeV2,15+
222,0.3033350093944653,1.4059886416873417,3.6852100849151603,0.545045045045045,HistGradientBoostingSwapSafeV2Augmented,15+
1143,2.5460272108841027,3.111189577966433,8.825890016555757,0.8048993875765529,HistGradientBoosting,5-10
1143,2.5460272108841027,3.111189577966433,8.825890016555757,0.8048993875765529,HistGradientBoostingSwapSafeV2,5-10
1294,0.10300571454179343,1.0005331641923885,2.5277911424636836,0.5386398763523956,HistGradientBoostingSwapSafeV2Augmented,5-10
