season,gameId,game_date,startDate,slice,homeTeam,awayTeam,book_spread,predicted_spread,model_pick_side,pick_cover_prob,pick_prob_edge,raw_logit_score,filter_score,score_lift_vs_raw_logit,flagged_mainly_by_disagreement,persistence_label,he_market_edge_for_pick,abs_he_vs_market_edge,pick_team_recent_same_sign_count_21d,pick_team_prior_same_sign_streak,neutral_site_flag,signal_driver,usage_label
2026,372547,2026-03-17,2026-03-17 23:00:00+00:00,,Yale,UNC Wilmington,-5.5,9.875,HOME,0.638,0.115,0.532,0.5,-0.032,False,none,0.0,0.0,0.0,0.0,False,raw edge only / filtered out,raw-edge watchlist only
2026,372546,2026-03-17,2026-03-17 22:00:00+00:00,,George Mason,Liberty,-4.5,9.264,HOME,0.62,0.096,0.532,0.504,-0.028,False,none,0.0,0.0,0.0,0.0,False,raw edge only / filtered out,raw-edge watchlist only
2026,372510,2026-03-17,2026-03-18 01:15:00+00:00,ncaa_tournament,Texas,NC State,1.5,1.835,HOME,0.612,0.089,0.476,0.36,-0.116,False,new/transient,0.784,0.784,0.0,0.0,True,raw edge only / filtered out,raw-edge watchlist only
